"","Date_holo","Chamber.Channel_holo","Genotype_holo","TempC_holo","TempK_holo","Origin_holo","colorstate","Color_holo","Rdark_umol.cm2.hr_holo","abs_R","log_R","ln_R"
"128","20170712",7,"WWC","18",291.15,"RI","RI_white","white",-0.823293647,0.823293647,-0.084445236,-0.194442341
"133","20170713",6,"WWD","18",291.15,"RI","RI_white","white",-1.427858149,1.427858149,0.154685064,0.356175524
"138","20170714",4,"WWE","18",291.15,"RI","RI_white","white",-0.45345962,0.45345962,-0.34346138,-0.790849054
"143","20170716",4,"WWF","18",291.15,"RI","RI_white","white",-0.890660717,0.890660717,-0.050287702,-0.115791713
"148","20170712",3,"WWI","18",291.15,"RI","RI_white","white",-0.932119327,0.932119327,-0.030528487,-0.070294439
"153","20170713",5,"WWJ","18",291.15,"RI","RI_white","white",-1.020134371,1.020134371,0.00865738,0.019934355
"316","20170710",8,"WWK","18",291.15,"RI","RI_white","white",-1.108659171,1.108659171,0.044798054,0.103151331
"1","20170712",8,"TBE","12",285.15,"VA","VA_brown","brown",-0.082280091,0.082280091,-1.084705237,-2.497626108
"2","20170712",8,"TBE","15",288.15,"VA","VA_brown","brown",-0.249011774,0.249011774,-0.603780118,-1.390255098
"4","20170712",8,"TBE","6",279.15,"VA","VA_brown","brown",-0.010025777,0.010025777,-1.998881959,-4.602595803
"5","20170712",8,"TBE","9",282.15,"VA","VA_brown","brown",0.140872494,0.140872494,-0.851173797,-1.959900096
"6","20170714",6,"TBF","12",285.15,"VA","VA_brown","brown",-0.039854622,0.039854622,-1.399521306,-3.222516896
"7","20170714",6,"TBF","15",288.15,"VA","VA_brown","brown",-0.19428157,0.19428157,-0.711568396,-1.63844678
"9","20170714",6,"TBF","6",279.15,"VA","VA_brown","brown",-0.06417175,0.06417175,-1.192656117,-2.746192196
"10","20170714",6,"TBF","9",282.15,"VA","VA_brown","brown",-0.158600799,0.158600799,-0.799694629,-1.841364932
"11","20170716",8,"TBG","12",285.15,"VA","VA_brown","brown",-0.171991575,0.171991575,-0.764492826,-1.760309786
"12","20170716",8,"TBG","15",288.15,"VA","VA_brown","brown",-0.393027076,0.393027076,-0.40557753,-0.933876774
"14","20170716",8,"TBG","6",279.15,"VA","VA_brown","brown",-0.134161119,0.134161119,-0.872373328,-2.008713821
"15","20170716",8,"TBG","9",282.15,"VA","VA_brown","brown",-0.312558545,0.312558545,-0.505068623,-1.162963483
"16","20170713",7,"TBI","12",285.15,"VA","VA_brown","brown",-0.233022657,0.233022657,-0.63260185,-1.45661959
"17","20170713",7,"TBI","15",288.15,"VA","VA_brown","brown",-0.20962944,0.20962944,-0.678547726,-1.562413878
"19","20170713",7,"TBI","6",279.15,"VA","VA_brown","brown",-0.179048135,0.179048135,-0.747030198,-1.720100599
"20","20170713",7,"TBI","9",282.15,"VA","VA_brown","brown",-0.207151736,0.207151736,-0.683711423,-1.57430373
"21","20170714",3,"TBL","12",285.15,"VA","VA_brown","brown",0.075314787,0.075314787,-1.123119748,-2.586078789
"22","20170714",3,"TBL","15",288.15,"VA","VA_brown","brown",0.112708879,0.112708879,-0.94804187,-2.182947077
"24","20170714",3,"TBL","6",279.15,"VA","VA_brown","brown",-0.137765565,0.137765565,-0.860859322,-1.982201843
"25","20170714",3,"TBL","9",282.15,"VA","VA_brown","brown",-0.319200853,0.319200853,-0.495935957,-1.141934741
"26","20170716",7,"TBM","12",285.15,"VA","VA_brown","brown",-0.250085099,0.250085099,-0.601912184,-1.385954023
"27","20170716",7,"TBM","15",288.15,"VA","VA_brown","brown",-0.266893306,0.266893306,-0.573662319,-1.320906303
"29","20170716",7,"TBM","6",279.15,"VA","VA_brown","brown",-0.075743705,0.075743705,-1.120653455,-2.58039994
"30","20170716",7,"TBM","9",282.15,"VA","VA_brown","brown",-0.210794971,0.210794971,-0.676139754,-1.556869319
"31","20170713",8,"TBN","12",285.15,"VA","VA_brown","brown",0.1414717,0.1414717,-0.849330428,-1.955655582
"32","20170713",8,"TBN","15",288.15,"VA","VA_brown","brown",-0.151137397,0.151137397,-0.820628062,-1.889565942
"34","20170713",8,"TBN","6",279.15,"VA","VA_brown","brown",-0.235665087,0.235665087,-0.627704752,-1.445343605
"35","20170713",8,"TBN","9",282.15,"VA","VA_brown","brown",-0.165786836,0.165786836,-0.780449957,-1.797052436
"36","20170712",4,"TBO","12",285.15,"VA","VA_brown","brown",-0.135554764,0.135554764,-0.867885215,-1.998379558
"37","20170712",4,"TBO","15",288.15,"VA","VA_brown","brown",-0.230356662,0.230356662,-0.637599223,-1.468126467
"39","20170712",4,"TBO","6",279.15,"VA","VA_brown","brown",-0.175571081,0.175571081,-0.755547017,-1.739711298
"40","20170712",4,"TBO","9",282.15,"VA","VA_brown","brown",0.016966236,0.016966236,-1.770414496,-4.076530028
"41","20170712",5,"TWA","12",285.15,"VA","VA_white","white",-0.235382948,0.235382948,-0.628225002,-1.446541525
"42","20170712",5,"TWA","15",288.15,"VA","VA_white","white",-0.408522744,0.408522744,-0.38878376,-0.895207689
"44","20170712",5,"TWA","6",279.15,"VA","VA_white","white",0.040512968,0.040512968,-1.392405939,-3.206133159
"45","20170712",5,"TWA","9",282.15,"VA","VA_white","white",0.044324184,0.044324184,-1.353359251,-3.116224837
"46","20170712",9,"TWD","12",285.15,"VA","VA_white","white",-0.372587036,0.372587036,-0.42877226,-0.987284615
"47","20170712",9,"TWD","15",288.15,"VA","VA_white","white",-0.448470344,0.448470344,-0.34826627,-0.801912722
"49","20170712",9,"TWD","6",279.15,"VA","VA_white","white",-0.032050486,0.032050486,-1.494165381,-3.440442932
"50","20170712",9,"TWD","9",282.15,"VA","VA_white","white",0.000927301,0.000927301,-3.032779272,-6.983232342
"51","20170716",6,"TWH","12",285.15,"VA","VA_white","white",-0.346635392,0.346635392,-0.460127097,-1.059481795
"52","20170716",6,"TWH","15",288.15,"VA","VA_white","white",-0.346759411,0.346759411,-0.459971743,-1.05912408
"54","20170716",6,"TWH","6",279.15,"VA","VA_white","white",0.027596559,0.027596559,-1.559145067,-3.590064188
"55","20170716",6,"TWH","9",282.15,"VA","VA_white","white",-0.411059336,0.411059336,-0.386095484,-0.889017705
"56","20170714",9,"TWI","12",285.15,"VA","VA_white","white",-0.213979617,0.213979617,-0.669627594,-1.541874516
"57","20170714",9,"TWI","15",288.15,"VA","VA_white","white",-0.369343179,0.369343179,-0.432569917,-0.996029043
"59","20170714",9,"TWI","6",279.15,"VA","VA_white","white",-0.181517528,0.181517528,-0.741081432,-1.706403057
"60","20170714",9,"TWI","9",282.15,"VA","VA_white","white",-0.505750411,0.505750411,-0.296063756,-0.68171199
"61","20170713",4,"TWJ","12",285.15,"VA","VA_white","white",-0.24544839,0.24544839,-0.610039812,-1.404668578
"62","20170713",4,"TWJ","15",288.15,"VA","VA_white","white",-0.0943125,0.0943125,-1.025430743,-2.361141542
"64","20170713",4,"TWJ","6",279.15,"VA","VA_white","white",-0.059874489,0.059874489,-1.22275818,-2.815504758
"65","20170713",4,"TWJ","9",282.15,"VA","VA_white","white",-0.16539015,0.16539015,-0.781490359,-1.799448051
"66","20170713",9,"TWK","12",285.15,"VA","VA_white","white",-0.155611285,0.155611285,-0.807958911,-1.860394144
"67","20170713",9,"TWK","15",288.15,"VA","VA_white","white",-0.197207293,0.197207293,-0.705077028,-1.623499855
"69","20170713",9,"TWK","6",279.15,"VA","VA_white","white",-0.242053377,0.242053377,-0.616088854,-1.418597011
"70","20170713",9,"TWK","9",282.15,"VA","VA_white","white",-0.065120842,0.065120842,-1.186279993,-2.731510627
"71","20170716",10,"TWL","12",285.15,"VA","VA_white","white",-0.18411965,0.18411965,-0.734899859,-1.692169461
"72","20170716",10,"TWL","15",288.15,"VA","VA_white","white",-0.293794944,0.293794944,-0.531955682,-1.224873224
"74","20170716",10,"TWL","6",279.15,"VA","VA_white","white",-0.105744923,0.105744923,-0.975740475,-2.246725472
"75","20170716",10,"TWL","9",282.15,"VA","VA_white","white",-0.250244093,0.250244093,-0.601636165,-1.385318465
"76","20170714",8,"TWM","12",285.15,"VA","VA_white","white",-0.0464588,0.0464588,-1.332932012,-3.069189381
"77","20170714",8,"TWM","15",288.15,"VA","VA_white","white",-0.443306428,0.443306428,-0.353295971,-0.813494037
"79","20170714",8,"TWM","6",279.15,"VA","VA_white","white",-0.13587158,0.13587158,-0.866871374,-1.996045104
"80","20170714",8,"TWM","9",282.15,"VA","VA_white","white",-0.295513127,0.295513127,-0.529423223,-1.21904202
"81","20170714",5,"WBC","12",285.15,"RI","RI_brown","brown",0.069821802,0.069821802,-1.156008947,-2.661808968
"82","20170714",5,"WBC","15",288.15,"RI","RI_brown","brown",-0.044871327,0.044871327,-1.348031087,-3.103956285
"84","20170714",5,"WBC","6",279.15,"RI","RI_brown","brown",-0.001403963,0.001403963,-2.852644337,-6.568456327
"85","20170714",5,"WBC","9",282.15,"RI","RI_brown","brown",-0.238364246,0.238364246,-0.622758887,-1.43395533
"86","20170712",6,"WBF","12",285.15,"RI","RI_brown","brown",-0.007801082,0.007801082,-2.107845157,-4.853492837
"87","20170712",6,"WBF","15",288.15,"RI","RI_brown","brown",-0.365560662,0.365560662,-0.437040545,-1.006323044
"89","20170712",6,"WBF","6",279.15,"RI","RI_brown","brown",0.312758207,0.312758207,-0.504791285,-1.162324889
"90","20170712",6,"WBF","9",282.15,"RI","RI_brown","brown",-0.079161472,0.079161472,-1.101486139,-2.536265563
"91","20170712",10,"WBG","12",285.15,"RI","RI_brown","brown",-0.381335047,0.381335047,-0.418693279,-0.964076902
"92","20170712",10,"WBG","15",288.15,"RI","RI_brown","brown",-0.561370815,0.561370815,-0.25075017,-0.577373603
"94","20170712",10,"WBG","6",279.15,"RI","RI_brown","brown",0.138315199,0.138315199,-0.859130094,-1.978220148
"95","20170712",10,"WBG","9",282.15,"RI","RI_brown","brown",-0.067697109,0.067697109,-1.169429877,-2.692711803
"96","20170713",10,"WBI","12",285.15,"RI","RI_brown","brown",-0.25617233,0.25617233,-0.591467782,-1.361904897
"97","20170713",10,"WBI","15",288.15,"RI","RI_brown","brown",-0.292468102,0.292468102,-0.533921493,-1.229399671
"99","20170713",10,"WBI","6",279.15,"RI","RI_brown","brown",-0.149991284,0.149991284,-0.823933977,-1.897178093
"100","20170713",10,"WBI","9",282.15,"RI","RI_brown","brown",-0.213516978,0.213516978,-0.670567586,-1.544038927
"101","20170713",3,"WBK","12",285.15,"RI","RI_brown","brown",-0.188335623,0.188335623,-0.725067527,-1.669529679
"102","20170713",3,"WBK","15",288.15,"RI","RI_brown","brown",-0.17134427,0.17134427,-0.766130414,-1.764080472
"104","20170713",3,"WBK","6",279.15,"RI","RI_brown","brown",-0.198511958,0.198511958,-0.702213327,-1.616905939
"105","20170713",3,"WBK","9",282.15,"RI","RI_brown","brown",-0.260677727,0.260677727,-0.583896075,-1.344470397
"106","20170716",9,"WBN","12",285.15,"RI","RI_brown","brown",-0.375376536,0.375376536,-0.425532878,-0.979825661
"107","20170716",9,"WBN","15",288.15,"RI","RI_brown","brown",-0.2452175,0.2452175,-0.61044854,-1.405609707
"109","20170716",9,"WBN","6",279.15,"RI","RI_brown","brown",-0.088882234,0.088882234,-1.051185038,-2.420442999
"110","20170716",9,"WBN","9",282.15,"RI","RI_brown","brown",-0.447134639,0.447134639,-0.349561685,-0.804895524
"111","20170714",7,"WBO","12",285.15,"RI","RI_brown","brown",-0.013345351,0.013345351,-1.874669999,-4.316587194
"112","20170714",7,"WBO","15",288.15,"RI","RI_brown","brown",-0.195626203,0.195626203,-0.708572974,-1.631549568
"114","20170714",7,"WBO","6",279.15,"RI","RI_brown","brown",-0.129735155,0.129735155,-0.886942325,-2.042260176
"115","20170714",7,"WBO","9",282.15,"RI","RI_brown","brown",-0.266959742,0.266959742,-0.573554226,-1.320657411
"116","20170716",3,"WBP","12",285.15,"RI","RI_brown","brown",-0.077665483,0.077665483,-1.109771953,-2.555344355
"117","20170716",3,"WBP","15",288.15,"RI","RI_brown","brown",-0.015971677,0.015971677,-1.796649481,-4.136938313
"119","20170716",3,"WBP","6",279.15,"RI","RI_brown","brown",-0.118514736,0.118514736,-0.926227647,-2.132717972
"120","20170716",3,"WBP","9",282.15,"RI","RI_brown","brown",-0.125574975,0.125574975,-0.9010969,-2.074852288
"121","20170716",5,"WWB","12",285.15,"RI","RI_white","white",-0.435554635,0.435554635,-0.36095736,-0.831135037
"122","20170716",5,"WWB","15",288.15,"RI","RI_white","white",-0.436885256,0.436885256,-0.359632612,-0.82808469
"124","20170716",5,"WWB","6",279.15,"RI","RI_white","white",0.003633924,0.003633924,-2.43962416,-5.617442223
"125","20170716",5,"WWB","9",282.15,"RI","RI_white","white",-0.3651061,0.3651061,-0.437580911,-1.007567283
"126","20170712",7,"WWC","12",285.15,"RI","RI_white","white",-0.348552288,0.348552288,-0.457732062,-1.053967023
"127","20170712",7,"WWC","15",288.15,"RI","RI_white","white",-0.635658242,0.635658242,-0.196776318,-0.453094215
"129","20170712",7,"WWC","6",279.15,"RI","RI_white","white",-0.029936188,0.029936188,-1.523803502,-3.508687229
"130","20170712",7,"WWC","9",282.15,"RI","RI_white","white",-0.020140863,0.020140863,-1.695921925,-3.905004543
"131","20170713",6,"WWD","12",285.15,"RI","RI_white","white",-0.535455046,0.535455046,-0.271276984,-0.62463834
"132","20170713",6,"WWD","15",288.15,"RI","RI_white","white",-0.694313026,0.694313026,-0.158444687,-0.364832374
"134","20170713",6,"WWD","6",279.15,"RI","RI_white","white",-0.254143822,0.254143822,-0.594920443,-1.369854944
"135","20170713",6,"WWD","9",282.15,"RI","RI_white","white",-0.511676495,0.511676495,-0.291004533,-0.670062699
"136","20170714",4,"WWE","12",285.15,"RI","RI_white","white",0.004620593,0.004620593,-2.335302284,-5.377232227
"137","20170714",4,"WWE","15",288.15,"RI","RI_white","white",-0.613710983,0.613710983,-0.212036104,-0.488231173
"139","20170714",4,"WWE","6",279.15,"RI","RI_white","white",-0.090156342,0.090156342,-1.045003718,-2.406209982
"140","20170714",4,"WWE","9",282.15,"RI","RI_white","white",-0.440094158,0.440094158,-0.356454396,-0.82076658
"141","20170716",4,"WWF","12",285.15,"RI","RI_white","white",-0.619380286,0.619380286,-0.208042622,-0.47903584
"142","20170716",4,"WWF","15",288.15,"RI","RI_white","white",-0.766724092,0.766724092,-0.11536089,-0.265628266
"144","20170716",4,"WWF","6",279.15,"RI","RI_white","white",-0.091936732,0.091936732,-1.036510938,-2.386654634
"145","20170716",4,"WWF","9",282.15,"RI","RI_white","white",-0.612139658,0.612139658,-0.213149483,-0.490794823
"146","20170712",3,"WWI","12",285.15,"RI","RI_white","white",-0.40056398,0.40056398,-0.397328106,-0.914881775
"147","20170712",3,"WWI","15",288.15,"RI","RI_white","white",-0.530414488,0.530414488,-0.275384622,-0.634096525
"149","20170712",3,"WWI","6",279.15,"RI","RI_white","white",-0.115204471,0.115204471,-0.938530666,-2.161046721
"150","20170712",3,"WWI","9",282.15,"RI","RI_white","white",-0.258822544,0.258822544,-0.586997898,-1.35161261
"151","20170713",5,"WWJ","12",285.15,"RI","RI_white","white",-0.494377733,0.494377733,-0.305941098,-0.704455412
"152","20170713",5,"WWJ","15",288.15,"RI","RI_white","white",-0.64077511,0.64077511,-0.193294366,-0.445076726
"154","20170713",5,"WWJ","6",279.15,"RI","RI_white","white",-0.292943062,0.292943062,-0.533216783,-1.227777016
"155","20170713",5,"WWJ","9",282.15,"RI","RI_white","white",-0.327912506,0.327912506,-0.48424202,-1.115008456
"156","20170714",10,"WWK","12",285.15,"RI","RI_white","white",-0.170099795,0.170099795,-0.76929621,-1.771369985
"157","20170714",10,"WWK","15",288.15,"RI","RI_white","white",-0.548960472,0.548960472,-0.260458926,-0.59972884
"159","20170714",10,"WWK","6",279.15,"RI","RI_white","white",-0.263044461,0.263044461,-0.579970839,-1.335432208
"160","20170714",10,"WWK","9",282.15,"RI","RI_white","white",-0.533088719,0.533088719,-0.273200508,-0.629067417
"162","20170707",5,"TBE","22",295.15,"VA","VA_brown","brown",-1.114206525,1.114206525,0.046965697,0.108142515
"163","20170707",5,"TBE","26",299.15,"VA","VA_brown","brown",-1.231857593,1.231857593,0.090560505,0.208523268
"164","20170707",5,"TBE","29",302.15,"VA","VA_brown","brown",-1.705567726,1.705567726,0.231868969,0.533898032
"165","20170707",5,"TBE","32",305.15,"VA","VA_brown","brown",-1.327873371,1.327873371,0.123156662,0.283578693
"167","20170710",6,"TBF","22",295.15,"VA","VA_brown","brown",-0.960612318,0.960612318,-0.017451849,-0.040184367
"168","20170710",6,"TBF","26",299.15,"VA","VA_brown","brown",-1.160523217,1.160523217,0.064653833,0.148870953
"169","20170710",6,"TBF","29",302.15,"VA","VA_brown","brown",-1.445553306,1.445553306,0.160034111,0.368492159
"170","20170710",6,"TBF","32",305.15,"VA","VA_brown","brown",-1.283390717,1.283390717,0.108358894,0.249505573
"172","20170711",10,"TBG","22",295.15,"VA","VA_brown","brown",-0.568974908,0.568974908,-0.244906886,-0.563918944
"173","20170711",10,"TBG","26",299.15,"VA","VA_brown","brown",-0.871771607,0.871771607,-0.05959728,-0.137227808
"174","20170711",10,"TBG","29",302.15,"VA","VA_brown","brown",-1.173150769,1.173150769,0.06935383,0.159693094
"175","20170711",10,"TBG","32",305.15,"VA","VA_brown","brown",-0.59346425,0.59346425,-0.226605438,-0.521778303
"177","20170708",9,"TBI","22",295.15,"VA","VA_brown","brown",-0.840278591,0.840278591,-0.075576701,-0.174021786
"178","20170708",9,"TBI","26",299.15,"VA","VA_brown","brown",-1.195620648,1.195620648,0.077593407,0.178665421
"179","20170708",9,"TBI","29",302.15,"VA","VA_brown","brown",-1.532222138,1.532222138,0.185321733,0.42671906
"180","20170708",9,"TBI","32",305.15,"VA","VA_brown","brown",-1.410254282,1.410254282,0.149297427,0.34377003
"182","20170710",7,"TBL","22",295.15,"VA","VA_brown","brown",-0.630973761,0.630973761,-0.1999887,-0.460491001
"183","20170710",7,"TBL","26",299.15,"VA","VA_brown","brown",-0.913350951,0.913350951,-0.039362315,-0.090635079
"184","20170710",7,"TBL","29",302.15,"VA","VA_brown","brown",-1.187437325,1.187437325,0.074610696,0.171797477
"185","20170710",7,"TBL","32",305.15,"VA","VA_brown","brown",-1.001761254,1.001761254,0.00076423,0.001759705
"187","20170711",6,"TBM","22",295.15,"VA","VA_brown","brown",-0.956752887,0.956752887,-0.019200219,-0.044210137
"188","20170711",6,"TBM","26",299.15,"VA","VA_brown","brown",-1.44761368,1.44761368,0.160652679,0.369916463
"189","20170711",6,"TBM","29",302.15,"VA","VA_brown","brown",-1.20807214,1.20807214,0.082092869,0.189025816
"190","20170711",6,"TBM","32",305.15,"VA","VA_brown","brown",-0.696867287,0.696867287,-0.156849922,-0.361160292
"192","20170708",6,"TBN","22",295.15,"VA","VA_brown","brown",-0.719441375,0.719441375,-0.14300459,-0.329280236
"193","20170708",6,"TBN","26",299.15,"VA","VA_brown","brown",-0.959724477,0.959724477,-0.017853429,-0.041109039
"194","20170708",6,"TBN","29",302.15,"VA","VA_brown","brown",-1.335820497,1.335820497,0.125748103,0.289545708
"195","20170708",6,"TBN","32",305.15,"VA","VA_brown","brown",-1.156441238,1.156441238,0.06312357,0.145347391
"197","20170707",8,"TBO","22",295.15,"VA","VA_brown","brown",-0.573448302,0.573448302,-0.241505729,-0.556087491
"198","20170707",8,"TBO","26",299.15,"VA","VA_brown","brown",-0.698608822,0.698608822,-0.155765934,-0.358664319
"199","20170707",8,"TBO","29",302.15,"VA","VA_brown","brown",-0.997139998,0.997139998,-0.001243863,-0.0028641
"200","20170707",8,"TBO","32",305.15,"VA","VA_brown","brown",-0.554218467,0.554218467,-0.256319007,-0.590196325
"202","20170707",7,"TWA","22",295.15,"VA","VA_white","white",-1.264509872,1.264509872,0.101922224,0.234684594
"203","20170707",7,"TWA","26",299.15,"VA","VA_white","white",-1.647977377,1.647977377,0.216951246,0.499548704
"204","20170707",7,"TWA","29",302.15,"VA","VA_white","white",-1.866971674,1.866971674,0.271137729,0.624317693
"205","20170707",7,"TWA","32",305.15,"VA","VA_white","white",-1.315785713,1.315785713,0.119185166,0.274433988
"207","20170707",3,"TWD","22",295.15,"VA","VA_white","white",-1.230484996,1.230484996,0.090076322,0.207408397
"208","20170707",3,"TWD","26",299.15,"VA","VA_white","white",-1.907856497,1.907856497,0.280545705,0.645980359
"209","20170707",3,"TWD","29",302.15,"VA","VA_white","white",-2.30909768,2.30909768,0.363442305,0.836856834
"210","20170707",3,"TWD","32",305.15,"VA","VA_white","white",-1.593504141,1.593504141,0.202353196,0.465935454
"212","20170711",5,"TWH","22",295.15,"VA","VA_white","white",-1.1097258,1.1097258,0.045215683,0.104112958
"213","20170711",5,"TWH","26",299.15,"VA","VA_white","white",-1.388488609,1.388488609,0.142542321,0.328215824
"214","20170711",5,"TWH","29",302.15,"VA","VA_white","white",-1.44112981,1.44112981,0.158703102,0.365427396
"215","20170711",5,"TWH","32",305.15,"VA","VA_white","white",-1.420344027,1.420344027,0.152393549,0.350899115
"217","20170710",5,"TWI","22",295.15,"VA","VA_white","white",-1.323009615,1.323009615,0.121563,0.279909153
"218","20170710",5,"TWI","26",299.15,"VA","VA_white","white",-1.632783057,1.632783057,0.212928485,0.490285956
"219","20170710",5,"TWI","29",302.15,"VA","VA_white","white",-1.267703163,1.267703163,0.103017574,0.23720673
"220","20170710",5,"TWI","32",305.15,"VA","VA_white","white",-1.000552045,1.000552045,0.000239684,0.000551893
"222","20170708",7,"TWJ","22",295.15,"VA","VA_white","white",-0.531304646,0.531304646,-0.274656386,-0.632419701
"223","20170708",7,"TWJ","26",299.15,"VA","VA_white","white",-0.801452687,0.801452687,-0.096122111,-0.221329339
"224","20170708",7,"TWJ","29",302.15,"VA","VA_white","white",-0.961252819,0.961252819,-0.017162374,-0.039517826
"225","20170708",7,"TWJ","32",305.15,"VA","VA_white","white",-0.840932212,0.840932212,-0.075239012,-0.173244226
"227","20170708",10,"TWK","22",295.15,"VA","VA_white","white",-0.896739746,0.896739746,-0.047333581,-0.108989597
"228","20170708",10,"TWK","26",299.15,"VA","VA_white","white",-1.169808528,1.169808528,0.068114783,0.156840084
"229","20170708",10,"TWK","29",302.15,"VA","VA_white","white",-1.345820783,1.345820783,0.128987231,0.297004075
"230","20170708",10,"TWK","32",305.15,"VA","VA_white","white",-1.079504908,1.079504908,0.033224621,0.076502518
"232","20170711",4,"TWL","22",295.15,"VA","VA_white","white",-0.919670393,0.919670393,-0.036367795,-0.083739942
"233","20170711",4,"TWL","26",299.15,"VA","VA_white","white",-1.380262799,1.380262799,0.139961783,0.322273915
"234","20170711",4,"TWL","29",302.15,"VA","VA_white","white",-1.454181558,1.454181558,0.162618633,0.374443239
"235","20170711",4,"TWL","32",305.15,"VA","VA_white","white",-0.852458258,0.852458258,-0.069326878,-0.159631035
"237","20170710",3,"TWM","22",295.15,"VA","VA_white","white",-0.556535649,0.556535649,-0.254507012,-0.586024051
"238","20170710",3,"TWM","26",299.15,"VA","VA_white","white",-1.355880091,1.355880091,0.132221284,0.304450757
"239","20170710",3,"TWM","29",302.15,"VA","VA_white","white",-1.197836376,1.197836376,0.078397498,0.180516909
"240","20170710",3,"TWM","32",305.15,"VA","VA_white","white",-0.943461884,0.943461884,-0.025275641,-0.058199314
"242","20170710",10,"WBC","22",295.15,"RI","RI_brown","brown",-0.921429646,0.921429646,-0.035537819,-0.081828852
"243","20170710",10,"WBC","26",299.15,"RI","RI_brown","brown",-1.203531224,1.203531224,0.080457362,0.185259922
"244","20170710",10,"WBC","29",302.15,"RI","RI_brown","brown",-1.241763519,1.241763519,0.094038897,0.216532562
"245","20170710",10,"WBC","32",305.15,"RI","RI_brown","brown",-0.866294566,0.866294566,-0.06233441,-0.143530283
"247","20170707",9,"WBF","22",295.15,"RI","RI_brown","brown",-0.946076871,0.946076871,-0.024073575,-0.055431454
"248","20170707",9,"WBF","26",299.15,"RI","RI_brown","brown",-1.054138962,1.054138962,0.022897866,0.052724284
"249","20170707",9,"WBF","29",302.15,"RI","RI_brown","brown",-1.241435212,1.241435212,0.09392406,0.216268139
"250","20170707",9,"WBF","32",305.15,"RI","RI_brown","brown",-0.770602078,0.770602078,-0.113169824,-0.26058315
"252","20170707",6,"WBG","22",295.15,"RI","RI_brown","brown",-1.433163894,1.433163894,0.156295858,0.359884514
"253","20170707",6,"WBG","26",299.15,"RI","RI_brown","brown",-1.886957042,1.886957042,0.275762013,0.634965501
"254","20170707",6,"WBG","29",302.15,"RI","RI_brown","brown",-2.601152793,2.601152793,0.415165864,0.955954729
