"","Date_holo","Chamber.Channel_holo","Genotype_holo","TempC_holo","TempK_holo","Origin_holo","colorstate","Color_holo","Rdark_umol.cm2.hr_holo","abs_R","log_R","ln_R"
"3","20170712",8,"TBE","18",291.15,"VA","VA_brown","brown",-0.386232209,0.386232209,-0.413151512,-0.951316513
"166","20170710",6,"TBF","18",291.15,"VA","VA_brown","brown",-0.597641475,0.597641475,-0.223559271,-0.514764245
"13","20170716",8,"TBG","18",291.15,"VA","VA_brown","brown",-0.371549026,0.371549026,-0.429983873,-0.990074456
"18","20170713",7,"TBI","18",291.15,"VA","VA_brown","brown",-0.566278988,0.566278988,-0.246969553,-0.568668411
"181","20170710",7,"TBL","18",291.15,"VA","VA_brown","brown",-0.369104603,0.369104603,-0.432850539,-0.996675198
"186","20170711",6,"TBM","18",291.15,"VA","VA_brown","brown",-0.578835591,0.578835591,-0.237444773,-0.546736795
"33","20170713",8,"TBN","18",291.15,"VA","VA_brown","brown",-0.375179855,0.375179855,-0.425760489,-0.980349755
"38","20170712",4,"TBO","18",291.15,"VA","VA_brown","brown",-0.315726708,0.315726708,-0.500688679,-1.152878288
"201","20170707",7,"TWA","18",291.15,"VA","VA_white","white",-0.635312544,0.635312544,-0.19701257,-0.453638206
"48","20170712",9,"TWD","18",291.15,"VA","VA_white","white",-0.713029114,0.713029114,-0.146892737,-0.338233026
"53","20170716",6,"TWH","18",291.15,"VA","VA_white","white",-0.508128361,0.508128361,-0.294026564,-0.677021184
"216","20170710",5,"TWI","18",291.15,"VA","VA_white","white",-0.787833297,0.787833297,-0.103565668,-0.238468764
"63","20170713",4,"TWJ","18",291.15,"VA","VA_white","white",-0.421186911,0.421186911,-0.375525134,-0.864678575
"226","20170708",10,"TWK","18",291.15,"VA","VA_white","white",-0.608650299,0.608650299,-0.21563216,-0.496511398
"73","20170716",10,"TWL","18",291.15,"VA","VA_white","white",-0.36930715,0.36930715,-0.432612284,-0.996126596
"236","20170710",3,"TWM","18",291.15,"VA","VA_white","white",-0.633715415,0.633715415,-0.198105729,-0.456155298
"83","20170714",5,"WBC","18",291.15,"RI","RI_brown","brown",-0.211355401,0.211355401,-0.67498665,-1.554214198
"246","20170707",9,"WBF","18",291.15,"RI","RI_brown","brown",-0.259250225,0.259250225,-0.586280858,-1.349961564
"251","20170707",6,"WBG","18",291.15,"RI","RI_brown","brown",-0.660488628,0.660488628,-0.180134655,-0.414775372
"98","20170713",10,"WBI","18",291.15,"RI","RI_brown","brown",-0.582295971,0.582295971,-0.234856215,-0.540776419
"261","20170708",4,"WBK","18",291.15,"RI","RI_brown","brown",-0.802918502,0.802918502,-0.095328534,-0.219502062
"108","20170716",9,"WBN","18",291.15,"RI","RI_brown","brown",-0.534714196,0.534714196,-0.271878286,-0.626022888
"113","20170714",7,"WBO","18",291.15,"RI","RI_brown","brown",-0.352435213,0.352435213,-0.452920706,-1.042888467
"276","20170711",7,"WBP","18",291.15,"RI","RI_brown","brown",-0.687958254,0.687958254,-0.162437914,-0.37402712
"281","20170711",9,"WWB","18",291.15,"RI","RI_white","white",-0.421161112,0.421161112,-0.375551736,-0.86473983
