"","Date_skel","colorstate","Chamber.Channel_skel","Genotype_skel","Temp_skel","Origin_skel","colorstate.1","Color_skel","Pnet_umol.cm2.hr_skel","Pgross_skel"
"41",20170722,"VA_white",9,"TWA",12,"VA","VA_white","white",0.143573515,0.237580872
"42",20170722,"VA_white",9,"TWA",15,"VA","VA_white","white",-0.422149546,-0.358072287
"44",20170722,"VA_white",9,"TWA",6,"VA","VA_white","white",-0.050384379,0.001413931
"45",20170722,"VA_white",9,"TWA",9,"VA","VA_white","white",-0.193634455,-0.070762157
"46",20170722,"VA_white",10,"TWD",12,"VA","VA_white","white",0.027891632,0.124537285
"47",20170722,"VA_white",10,"TWD",15,"VA","VA_white","white",-0.245895667,-0.222782212
"49",20170722,"VA_white",10,"TWD",6,"VA","VA_white","white",0.020679531,0.123293382
"50",20170722,"VA_white",10,"TWD",9,"VA","VA_white","white",-0.198197178,-0.150520697
"51",20170726,"VA_white",4,"TWH",12,"VA","VA_white","white",-0.119618087,0.07480624
"52",20170726,"VA_white",4,"TWH",15,"VA","VA_white","white",-0.19793359,0.260664535
"54",20170726,"VA_white",4,"TWH",6,"VA","VA_white","white",0.227943773,0.255224173
"55",20170726,"VA_white",4,"TWH",9,"VA","VA_white","white",-0.30151587,0.018662776
"56",20170725,"VA_white",4,"TWI",12,"VA","VA_white","white",-0.094085672,-0.095873057
"57",20170725,"VA_white",4,"TWI",15,"VA","VA_white","white",-0.036244195,-0.04276359
"59",20170725,"VA_white",4,"TWI",6,"VA","VA_white","white",-0.315985297,-0.043137108
"60",20170725,"VA_white",4,"TWI",9,"VA","VA_white","white",0.376113349,0.38724798
"61",20170724,"VA_white",9,"TWJ",12,"VA","VA_white","white",-0.127327111,0.075904479
"62",20170724,"VA_white",9,"TWJ",15,"VA","VA_white","white",-0.056291993,-0.004470364
"64",20170724,"VA_white",9,"TWJ",6,"VA","VA_white","white",0.132721647,0.369841189
"65",20170724,"VA_white",9,"TWJ",9,"VA","VA_white","white",0.028222367,-0.03253375
"66",20170724,"VA_white",6,"TWK",12,"VA","VA_white","white",-0.150164744,0.041279511
"67",20170724,"VA_white",6,"TWK",15,"VA","VA_white","white",-0.146889955,-0.234510353
"69",20170724,"VA_white",6,"TWK",6,"VA","VA_white","white",0.071720823,0.110084904
"70",20170724,"VA_white",6,"TWK",9,"VA","VA_white","white",-0.058218634,-0.170702361
"71",20170726,"VA_white",9,"TWL",12,"VA","VA_white","white",-0.258196529,0.07182796
"72",20170726,"VA_white",9,"TWL",15,"VA","VA_white","white",-0.277675534,0.083091026
"74",20170726,"VA_white",9,"TWL",6,"VA","VA_white","white",0.397237018,0.276401722
"75",20170726,"VA_white",9,"TWL",9,"VA","VA_white","white",-0.238625247,0.063008486
"76",20170725,"VA_white",6,"TWM",12,"VA","VA_white","white",0.178691356,0.327970998
"77",20170725,"VA_white",6,"TWM",15,"VA","VA_white","white",-0.061153195,-0.144448635
"79",20170725,"VA_white",6,"TWM",6,"VA","VA_white","white",0.207808181,0.281836209
"80",20170725,"VA_white",6,"TWM",9,"VA","VA_white","white",0.496615063,0.630672931
"81",20170725,"RI_brown",3,"WBC",12,"RI","RI_brown","brown",0.146561387,-0.22398575
"82",20170725,"RI_brown",3,"WBC",15,"RI","RI_brown","brown",0.141409465,-0.055324144
"84",20170725,"RI_brown",3,"WBC",6,"RI","RI_brown","brown",-0.284962311,-0.269603376
"85",20170725,"RI_brown",3,"WBC",9,"RI","RI_brown","brown",0.456549972,0.443922059
"86",20170722,"RI_brown",8,"WBF",12,"RI","RI_brown","brown",0.239219688,0.272717784
"87",20170722,"RI_brown",8,"WBF",15,"RI","RI_brown","brown",-0.257827204,-0.170201152
"89",20170722,"RI_brown",8,"WBF",6,"RI","RI_brown","brown",-0.596704247,-0.605623462
"90",20170722,"RI_brown",8,"WBF",9,"RI","RI_brown","brown",-0.134586137,-0.088420416
"91",20170722,"RI_brown",4,"WBG",12,"RI","RI_brown","brown",-0.281687393,-0.093283672
"92",20170722,"RI_brown",4,"WBG",15,"RI","RI_brown","brown",-0.60423957,-0.275674206
"94",20170722,"RI_brown",4,"WBG",6,"RI","RI_brown","brown",-0.05655835,0.194644259
"95",20170722,"RI_brown",4,"WBG",9,"RI","RI_brown","brown",-0.231181579,-0.090693589
"96",20170724,"RI_brown",10,"WBI",12,"RI","RI_brown","brown",-0.236669426,0.040300553
"97",20170724,"RI_brown",10,"WBI",15,"RI","RI_brown","brown",-0.12293937,-0.17181525
"99",20170724,"RI_brown",10,"WBI",6,"RI","RI_brown","brown",0.129053748,0.418838963
"100",20170724,"RI_brown",10,"WBI",9,"RI","RI_brown","brown",-0.268717388,-0.558557435
"101",20170724,"RI_brown",8,"WBK",12,"RI","RI_brown","brown",-0.820192213,-0.530980052
"102",20170724,"RI_brown",8,"WBK",15,"RI","RI_brown","brown",-0.235566589,-0.023647881
"104",20170724,"RI_brown",8,"WBK",6,"RI","RI_brown","brown",-0.068736775,0.146664248
"105",20170724,"RI_brown",8,"WBK",9,"RI","RI_brown","brown",0.215767211,0.120789097
"106",20170726,"RI_brown",6,"WBJ",12,"RI","RI_brown","brown",-0.127467233,0.191644951
"107",20170726,"RI_brown",6,"WBJ",15,"RI","RI_brown","brown",-0.184717013,0.027740245
"109",20170726,"RI_brown",6,"WBJ",6,"RI","RI_brown","brown",0.305397726,0.214598653
"110",20170726,"RI_brown",6,"WBJ",9,"RI","RI_brown","brown",-0.284410073,-0.126462416
"111",20170725,"RI_brown",7,"WBO",12,"RI","RI_brown","brown",0.229952372,0.084748421
"112",20170725,"RI_brown",7,"WBO",15,"RI","RI_brown","brown",0.274259497,0.128733176
"114",20170725,"RI_brown",7,"WBO",6,"RI","RI_brown","brown",-0.123611854,0.070542681
"115",20170725,"RI_brown",7,"WBO",9,"RI","RI_brown","brown",0.461330596,0.539582627
"116",20170726,"RI_brown",5,"WBB",12,"RI","RI_brown","brown",-0.124896127,0.083553052
"117",20170726,"RI_brown",5,"WBB",15,"RI","RI_brown","brown",-0.120720432,0.235005228
"119",20170726,"RI_brown",5,"WBB",6,"RI","RI_brown","brown",0.348568976,0.285746197
"120",20170726,"RI_brown",5,"WBB",9,"RI","RI_brown","brown",-0.151265113,0.000848914
"121",20170726,"RI_white",10,"WWB",12,"RI","RI_white","white",-0.270177419,-0.086896211
"122",20170726,"RI_white",10,"WWB",15,"RI","RI_white","white",-0.039844766,0.477992554
"124",20170726,"RI_white",10,"WWB",6,"RI","RI_white","white",0.624405228,0.42592143
