Date,No.,1:F,1:Fm',1:PAR,FvFm,temp,ID,genotype,origin,color,ramptype
20170724,1,73,173,0,0.578,18,WWD2,WWD,ri,white,cold_skel
20170724,2,78,150,0,0.48,18,WWJ3,WWJ,ri,white,cold_skel
20170724,3,31,70,0,0.557,18,TBN3,TBN,va,brown,cold_skel
20170724,4,37,68,0,0.456,18,TWK1,TWK,va,white,cold_skel
20170724,5,96,220,0,0.564,18,TBI3,TBI,va,brown,cold_skel
20170724,6,186,199,0,0.065,18,WBK3,WBK,ri,brown,cold_skel
20170724,7,35,54,0,0.352,18,TWJ2,TWJ,va,white,cold_skel
20170724,8,120,227,0,0.471,18,WBI1,WBI,ri,brown,cold_skel
20170724,9,80,163,0,0.509,18,WWD2,WWD,ri,white,cold_skel
20170724,10,86,196,0,0.561,18,WWJ3,WWJ,ri,white,cold_skel
20170724,11,39,70,0,0.443,18,TBN3,TBN,va,brown,cold_skel
20170724,12,33,53,0,0.377,18,TWK1,TWK,va,white,cold_skel
20170724,13,44,84,0,0.476,18,TBI3,TBI,va,brown,cold_skel
20170724,14,135,174,0,0.224,18,WBK3,WBK,ri,brown,cold_skel
20170724,15,47,86,0,0.453,18,TWJ2,TWJ,va,white,cold_skel
20170724,16,81,189,0,0.571,18,WBI1,WBI,ri,brown,cold_skel
20170724,17,68,148,0,0.541,18,WWD2,WWD,ri,white,cold_skel
20170724,18,74,167,0,0.557,18,WWJ3,WWJ,ri,white,cold_skel
20170724,19,29,64,0,0.547,18,TBN3,TBN,va,brown,cold_skel
20170724,20,34,57,0,0.404,18,TWK1,TWK,va,white,cold_skel
20170724,21,51,99,0,0.485,18,TBI3,TBI,va,brown,cold_skel
20170724,22,192,220,0,0.127,18,WBK3,WBK,ri,brown,cold_skel
20170724,23,42,58,0,0.276,18,TWJ2,TWJ,va,white,cold_skel
20170724,24,92,222,0,0.586,18,WBI1,WBI,ri,brown,cold_skel
20170724,25,54,68,0,0.206,15,WWD2,WWD,ri,white,cold_skel
20170724,26,49,83,0,0.41,15,WWJ3,WWJ,ri,white,cold_skel
20170724,27,38,50,0,0.24,15,TBN3,TBN,va,brown,cold_skel
20170724,28,32,44,0,0,15,TWK1,TWK,va,white,cold_skel
20170724,29,39,53,0,0.264,15,TBI3,TBI,va,brown,cold_skel
20170724,30,79,102,0,0.225,15,WBK3,WBK,ri,brown,cold_skel
20170724,31,33,42,0,0,15,TWJ2,TWJ,va,white,cold_skel
20170724,32,64,77,0,0.169,15,WBI1,WBI,ri,brown,cold_skel
20170724,33,61,81,0,0.247,15,WWD2,WWD,ri,white,cold_skel
20170724,34,69,90,0,0.233,15,WWJ3,WWJ,ri,white,cold_skel
20170724,35,36,50,0,0.28,15,TBN3,TBN,va,brown,cold_skel
20170724,36,24,41,0,0,15,TWK1,TWK,va,white,cold_skel
20170724,37,32,55,0,0.418,15,TBI3,TBI,va,brown,cold_skel
20170724,38,52,82,0,0.366,15,WBK3,WBK,ri,brown,cold_skel
20170724,39,32,42,0,0,15,TWJ2,TWJ,va,white,cold_skel
20170724,40,53,76,0,0.303,15,WBI1,WBI,ri,brown,cold_skel
20170724,41,46,66,0,0.303,15,WWD2,WWD,ri,white,cold_skel
20170724,42,52,84,0,0.381,15,WWJ3,WWJ,ri,white,cold_skel
20170724,43,43,54,0,0.204,15,TBN3,TBN,va,brown,cold_skel
20170724,44,22,37,0,0,15,TWK1,TWK,va,white,cold_skel
20170724,45,33,45,0,0,15,TBI3,TBI,va,brown,cold_skel
20170724,46,67,85,0,0.212,15,WBK3,WBK,ri,brown,cold_skel
20170724,47,25,48,0,0,15,TWJ2,TWJ,va,white,cold_skel
20170724,48,55,69,0,0.203,15,WBI1,WBI,ri,brown,cold_skel
20170724,49,59,73,0,0.192,12,WWD2,WWD,ri,white,cold_skel
20170724,50,39,57,0,0.316,12,WWJ3,WWJ,ri,white,cold_skel
20170724,51,31,47,0,0,12,TBN3,TBN,va,brown,cold_skel
20170724,52,29,45,0,0,12,TWK1,TWK,va,white,cold_skel
20170724,53,35,53,0,0.34,12,TBI3,TBI,va,brown,cold_skel
20170724,54,63,75,0,0.16,12,WBK3,WBK,ri,brown,cold_skel
20170724,55,25,39,0,0,12,TWJ2,TWJ,va,white,cold_skel
20170724,56,39,59,0,0.339,12,WBI1,WBI,ri,brown,cold_skel
20170724,57,50,64,0,0.219,12,WWD2,WWD,ri,white,cold_skel
20170724,58,44,58,0,0.241,12,WWJ3,WWJ,ri,white,cold_skel
20170724,59,36,51,0,0.294,12,TBN3,TBN,va,brown,cold_skel
20170724,60,15,44,0,0,12,TWK1,TWK,va,white,cold_skel
20170724,61,35,44,0,0,12,TBI3,TBI,va,brown,cold_skel
20170724,62,59,73,0,0.192,12,WBK3,WBK,ri,brown,cold_skel
20170724,63,28,48,0,0,12,TWJ2,TWJ,va,white,cold_skel
20170724,64,55,73,0,0.247,12,WBI1,WBI,ri,brown,cold_skel
20170724,65,55,71,0,0.225,12,WWD2,WWD,ri,white,cold_skel
20170724,66,68,88,0,0.227,12,WWJ3,WWJ,ri,white,cold_skel
20170724,67,33,51,0,0.353,12,TBN3,TBN,va,brown,cold_skel
20170724,68,22,35,0,0,12,TWK1,TWK,va,white,cold_skel
20170724,69,34,55,0,0.382,12,TBI3,TBI,va,brown,cold_skel
20170724,70,73,106,0,0.311,12,WBK3,WBK,ri,brown,cold_skel
20170724,71,35,56,0,0.375,12,TWJ2,TWJ,va,white,cold_skel
20170724,72,47,66,0,0.288,12,WBI1,WBI,ri,brown,cold_skel
20170724,73,94,113,0,0.168,9,WWD2,WWD,ri,white,cold_skel
20170724,74,55,63,0,0.127,9,WWJ3,WWJ,ri,white,cold_skel
20170724,75,27,47,0,0,9,TBN3,TBN,va,brown,cold_skel
20170724,76,31,46,0,0,9,TWK1,TWK,va,white,cold_skel
20170724,77,38,49,0,0,9,TBI3,TBI,va,brown,cold_skel
20170724,78,79,105,0,0.248,9,WBK3,WBK,ri,brown,cold_skel
20170724,79,28,46,0,0,9,TWJ2,TWJ,va,white,cold_skel
20170724,80,40,58,0,0.31,9,WBI1,WBI,ri,brown,cold_skel
20170724,81,36,50,0,0.28,9,WWD2,WWD,ri,white,cold_skel
20170724,82,53,74,0,0.284,9,WWJ3,WWJ,ri,white,cold_skel
20170724,83,32,49,0,0,9,TBN3,TBN,va,brown,cold_skel
20170724,84,25,37,0,0,9,TWK1,TWK,va,white,cold_skel
20170724,85,59,73,0,0.192,9,TBI3,TBI,va,brown,cold_skel
20170724,86,51,63,0,0.19,9,WBK3,WBK,ri,brown,cold_skel
20170724,87,37,45,0,0,9,TWJ2,TWJ,va,white,cold_skel
20170724,88,42,62,0,0.323,9,WBI1,WBI,ri,brown,cold_skel
20170724,89,45,56,0,0.196,9,WWD2,WWD,ri,white,cold_skel
20170724,90,29,49,0,0,9,WWJ3,WWJ,ri,white,cold_skel
20170724,91,36,48,0,0,9,TBN3,TBN,va,brown,cold_skel
20170724,92,29,39,0,0,9,TWK1,TWK,va,white,cold_skel
20170724,93,37,46,0,0,9,TBI3,TBI,va,brown,cold_skel
20170724,94,42,52,0,0.192,9,WBK3,WBK,ri,brown,cold_skel
20170724,95,37,50,0,0.26,9,TWJ2,TWJ,va,white,cold_skel
20170724,96,52,66,0,0.212,9,WBI1,WBI,ri,brown,cold_skel
20170724,97,49,57,0,0.14,6,WWD2,WWD,ri,white,cold_skel
20170724,98,57,71,0,0.197,6,WWJ3,WWJ,ri,white,cold_skel
20170724,99,38,55,0,0.309,6,TBN3,TBN,va,brown,cold_skel
20170724,100,41,38,0,0,6,TWK1,TWK,va,white,cold_skel
20170724,101,31,49,0,0,6,TBI3,TBI,va,brown,cold_skel
20170724,102,47,68,0,0.309,6,WBK3,WBK,ri,brown,cold_skel
20170724,103,34,45,0,0,6,TWJ2,TWJ,va,white,cold_skel
20170724,104,49,59,0,0.169,6,WBI1,WBI,ri,brown,cold_skel
20170724,105,40,57,0,0.298,6,WWD2,WWD,ri,white,cold_skel
20170724,106,45,70,0,0.357,6,WWJ3,WWJ,ri,white,cold_skel
20170724,107,38,50,0,0.24,6,TBN3,TBN,va,brown,cold_skel
20170724,108,27,43,0,0,6,TWK1,TWK,va,white,cold_skel
20170724,109,47,52,0,0.096,6,TBI3,TBI,va,brown,cold_skel
20170724,110,74,80,0,0.075,6,WBK3,WBK,ri,brown,cold_skel
20170724,111,28,41,0,0,6,TWJ2,TWJ,va,white,cold_skel
20170724,112,40,56,0,0.286,6,WBI1,WBI,ri,brown,cold_skel
20170724,113,44,56,0,0.214,6,WWD2,WWD,ri,white,cold_skel
20170724,114,46,65,0,0.292,6,WWJ3,WWJ,ri,white,cold_skel
20170724,115,54,60,0,0.1,6,TBN3,TBN,va,brown,cold_skel
20170724,116,28,39,0,0,6,TWK1,TWK,va,white,cold_skel
20170724,117,44,50,0,0.12,6,TBI3,TBI,va,brown,cold_skel
20170724,118,66,92,0,0.283,6,WBK3,WBK,ri,brown,cold_skel
20170724,119,43,54,0,0.204,6,TWJ2,TWJ,va,white,cold_skel
20170724,120,51,57,0,0.105,6,WBI1,WBI,ri,brown,cold_skel
