Date,No.,1:F,1:Fm',1:PAR,FvFm,temp,ID,genotype,origin,color,ramptype
20170713,1,187,409,0,0.543,18,WBK2,WBK,ri,brown,cold_holo
20170713,2,124,253,0,0.51,18,TWJ3,TWJ,va,white,cold_holo
20170713,3,157,261,0,0.398,18,WWJ2,WWJ,ri,white,cold_holo
20170713,4,32,64,0,0.5,18,WWD3,WWD,ri,white,cold_holo
20170713,5,82,229,0,0.642,18,TBI4,TBI,va,brown,cold_holo
20170713,6,54,123,0,0.561,18,TBN1,TBN,va,brown,cold_holo
20170713,7,47,71,0,0.338,18,TWK4,TWK,va,white,cold_holo
20170713,8,311,790,0,0.606,18,WBI2,WBI,ri,brown,cold_holo
20170713,9,175,394,0,0.556,18,WBK2,WBK,ri,brown,cold_holo
20170713,10,51,125,0,0.592,18,TWJ3,TWJ,va,white,cold_holo
20170713,11,41,78,0,0.474,18,WWJ2,WWJ,ri,white,cold_holo
20170713,12,146,299,0,0.512,18,WWD3,WWD,ri,white,cold_holo
20170713,13,115,253,0,0.545,18,TBI4,TBI,va,brown,cold_holo
20170713,14,124,326,0,0.62,18,TBN1,TBN,va,brown,cold_holo
20170713,15,41,66,0,0.379,18,TWK4,TWK,va,white,cold_holo
20170713,16,218,552,0,0.605,18,WBI2,WBI,ri,brown,cold_holo
20170713,17,254,564,0,0.55,18,WBK2,WBK,ri,brown,cold_holo
20170713,18,118,263,0,0.551,18,TWJ3,TWJ,va,white,cold_holo
20170713,19,33,58,0,0.431,18,WWJ2,WWJ,ri,white,cold_holo
20170713,20,143,268,0,0.466,18,WWD3,WWD,ri,white,cold_holo
20170713,21,153,371,0,0.588,18,TBI4,TBI,va,brown,cold_holo
20170713,22,117,306,0,0.618,18,TBN1,TBN,va,brown,cold_holo
20170713,23,50,63,0,0.206,18,TWK4,TWK,va,white,cold_holo
20170713,24,466,1200,0,0.612,18,WBI2,WBI,ri,brown,cold_holo
20170713,25,141,203,0,0.305,15,WBK2,WBK,ri,brown,cold_holo
20170713,26,48,71,0,0.324,15,TWJ3,TWJ,va,white,cold_holo
20170713,27,38,53,0,0.283,15,WWJ2,WWJ,ri,white,cold_holo
20170713,28,162,199,0,0.186,15,WWD3,WWD,ri,white,cold_holo
20170713,29,116,195,0,0.405,15,TBI4,TBI,va,brown,cold_holo
20170713,30,56,95,0,0.411,15,TBN1,TBN,va,brown,cold_holo
20170713,31,55,83,0,0.337,15,TWK4,TWK,va,white,cold_holo
20170713,32,157,319,0,0.508,15,WBI2,WBI,ri,brown,cold_holo
20170713,33,131,231,0,0.433,15,WBK2,WBK,ri,brown,cold_holo
20170713,34,85,163,0,0.479,15,TWJ3,TWJ,va,white,cold_holo
20170713,35,26,50,0,0.48,15,WWJ2,WWJ,ri,white,cold_holo
20170713,36,109,138,0,0.21,15,WWD3,WWD,ri,white,cold_holo
20170713,37,112,145,0,0.228,15,TBI4,TBI,va,brown,cold_holo
20170713,38,46,90,0,0.489,15,TBN1,TBN,va,brown,cold_holo
20170713,39,52,66,0,0.212,15,TWK4,TWK,va,white,cold_holo
20170713,40,279,590,0,0.527,15,WBI2,WBI,ri,brown,cold_holo
20170713,41,90,145,0,0.379,15,WBK2,WBK,ri,brown,cold_holo
20170713,42,72,126,0,0.429,15,TWJ3,TWJ,va,white,cold_holo
