Date,No.,1:F,1:Fm',1:PAR,FvFm,temp,ID,genotype,origin,color,ramptype
20170718,87,28,45,0,0,29,WWJ1,WWJ,ri,white,heat_skel
20170718,88,33,51,0,0.353,29,WWD1,WWD,ri,white,heat_skel
20170718,89,42,52,0,0.192,29,TBN6,TBN,va,brown,heat_skel
20170718,90,24,37,0,0,29,TWK3,TWK,va,white,heat_skel
20170718,91,43,52,0,0.173,29,WBI3,WBI,ri,brown,heat_skel
20170718,92,27,38,0,0,29,TBI1,TBI,va,brown,heat_skel
20170718,93,61,86,0,0.291,29,WBK1,WBK,ri,brown,heat_skel
20170718,94,25,33,0,0,29,TWJ1,TWJ,va,white,heat_skel
20170718,95,32,41,0,0,29,WWJ1,WWJ,ri,white,heat_skel
20170718,96,41,53,0,0.226,29,WWD1,WWD,ri,white,heat_skel
20170718,97,29,40,0,0,32,TBN6,TBN,va,brown,heat_skel
20170718,98,21,38,0,0,32,TWK3,TWK,va,white,heat_skel
20170718,99,27,44,0,0,32,WBI3,WBI,ri,brown,heat_skel
20170718,100,22,43,0,0,32,TBI1,TBI,va,brown,heat_skel
20170718,101,125,152,0,0.178,32,WBK1,WBK,ri,brown,heat_skel
20170718,102,19,38,0,0,32,TWJ1,TWJ,va,white,heat_skel
20170718,103,30,40,0,0,32,WWJ1,WWJ,ri,white,heat_skel
20170718,104,42,61,0,0.311,32,WWD1,WWD,ri,white,heat_skel
20170718,105,19,44,0,0,32,TBN6,TBN,va,brown,heat_skel
20170718,106,24,36,0,0,32,TWK3,TWK,va,white,heat_skel
20170718,107,40,56,0,0.286,32,WBI3,WBI,ri,brown,heat_skel
20170718,108,42,47,0,0,32,TBI1,TBI,va,brown,heat_skel
20170718,109,67,83,0,0.193,32,WBK1,WBK,ri,brown,heat_skel
20170718,110,35,37,0,0,32,TWJ1,TWJ,va,white,heat_skel
20170718,111,39,49,0,0,32,WWJ1,WWJ,ri,white,heat_skel
20170718,112,59,80,0,0.263,32,WWD1,WWD,ri,white,heat_skel
20170718,113,25,46,0,0,32,TBN6,TBN,va,brown,heat_skel
20170718,114,25,39,0,0,32,TWK3,TWK,va,white,heat_skel
20170718,115,42,55,0,0.236,32,WBI3,WBI,ri,brown,heat_skel
20170718,116,28,40,0,0,32,TBI1,TBI,va,brown,heat_skel
20170718,117,61,75,0,0.187,32,WBK1,WBK,ri,brown,heat_skel
20170718,118,28,37,0,0,32,TWJ1,TWJ,va,white,heat_skel
20170718,119,28,47,0,0,32,WWJ1,WWJ,ri,white,heat_skel
20170718,120,29,53,0,0.453,32,WWD1,WWD,ri,white,heat_skel
