RecNum	DateTime	HeatRampSkeleton07182017
26	07/18/17 08:12:57	19.472
27	07/18/17 08:13:57	19.472
28	07/18/17 08:14:57	19.472
29	07/18/17 08:15:57	19.377
30	07/18/17 08:16:57	19.377
31	07/18/17 08:17:57	19.377
32	07/18/17 08:18:57	19.377
33	07/18/17 08:19:57	19.377
34	07/18/17 08:20:57	19.377
35	07/18/17 08:21:57	19.377
36	07/18/17 08:22:57	19.377
37	07/18/17 08:23:57	19.377
38	07/18/17 08:24:57	19.377
39	07/18/17 08:25:57	19.377
40	07/18/17 08:26:57	19.377
41	07/18/17 08:27:57	19.377
42	07/18/17 08:28:57	19.377
43	07/18/17 08:29:57	19.377
44	07/18/17 08:30:57	19.377
45	07/18/17 08:31:57	19.377
46	07/18/17 08:32:57	19.377
47	07/18/17 08:33:57	19.377
48	07/18/17 08:34:57	19.377
49	07/18/17 08:35:57	19.377
50	07/18/17 08:36:57	19.377
51	07/18/17 08:37:57	19.377
52	07/18/17 08:38:57	19.377
53	07/18/17 08:39:57	19.377
54	07/18/17 08:40:57	19.377
55	07/18/17 08:41:57	19.472
56	07/18/17 08:42:57	19.567
57	07/18/17 08:43:57	19.567
58	07/18/17 08:44:57	19.662
59	07/18/17 08:45:57	19.662
60	07/18/17 08:46:57	19.662
61	07/18/17 08:47:57	19.662
62	07/18/17 08:48:57	19.662
63	07/18/17 08:49:57	19.662
64	07/18/17 08:50:57	19.662
65	07/18/17 08:51:57	19.662
66	07/18/17 08:52:57	19.662
67	07/18/17 08:53:57	19.662
68	07/18/17 08:54:57	19.662
69	07/18/17 08:55:57	19.662
70	07/18/17 08:56:57	19.662
71	07/18/17 08:57:57	19.662
72	07/18/17 08:58:57	19.662
73	07/18/17 08:59:57	19.662
74	07/18/17 09:00:57	19.662
75	07/18/17 09:01:57	19.662
76	07/18/17 09:02:57	19.662
77	07/18/17 09:03:57	19.662
78	07/18/17 09:04:57	19.662
79	07/18/17 09:05:57	19.567
80	07/18/17 09:06:57	19.472
81	07/18/17 09:07:57	19.472
82	07/18/17 09:08:57	19.567
83	07/18/17 09:09:57	19.567
84	07/18/17 09:10:57	19.662
85	07/18/17 09:11:57	19.758
86	07/18/17 09:12:57	19.853
87	07/18/17 09:13:57	19.948
