RecNum	DateTime	ColdRampSkeleton07252017
181	07/25/17 11:14:26	16.523
182	07/25/17 11:15:26	16.427
183	07/25/17 11:16:26	16.332
184	07/25/17 11:17:26	16.141
185	07/25/17 11:18:26	16.046
186	07/25/17 11:19:26	15.855
187	07/25/17 11:20:26	15.664
188	07/25/17 11:21:26	15.569
189	07/25/17 11:22:26	15.473
190	07/25/17 11:23:26	15.282
191	07/25/17 11:24:26	15.187
192	07/25/17 11:25:26	15.091
193	07/25/17 11:26:26	14.900
194	07/25/17 11:27:26	14.804
195	07/25/17 11:28:26	14.709
196	07/25/17 11:29:26	14.613
197	07/25/17 11:30:26	14.517
198	07/25/17 11:31:26	14.421
199	07/25/17 11:32:26	14.325
200	07/25/17 11:33:26	14.230
201	07/25/17 11:34:26	14.134
202	07/25/17 11:35:26	14.038
203	07/25/17 11:36:26	13.942
204	07/25/17 11:37:26	13.846
205	07/25/17 11:38:26	13.750
206	07/25/17 11:39:26	13.654
207	07/25/17 11:40:26	13.558
208	07/25/17 11:41:26	13.461
209	07/25/17 11:42:26	13.461
210	07/25/17 11:43:26	13.365
211	07/25/17 11:44:26	13.461
212	07/25/17 11:45:26	13.461
213	07/25/17 11:46:26	13.558
214	07/25/17 11:47:26	13.558
215	07/25/17 11:48:26	13.558
216	07/25/17 11:49:26	13.558
217	07/25/17 11:50:26	13.558
218	07/25/17 11:51:26	13.558
219	07/25/17 11:52:26	13.558
220	07/25/17 11:53:26	13.558
221	07/25/17 11:54:26	13.558
222	07/25/17 11:55:26	13.558
223	07/25/17 11:56:26	13.558
224	07/25/17 11:57:26	13.558
225	07/25/17 11:58:26	13.558
226	07/25/17 11:59:26	13.558
227	07/25/17 12:00:26	13.558
228	07/25/17 12:01:26	13.558
229	07/25/17 12:02:26	13.558
230	07/25/17 12:03:26	13.558
231	07/25/17 12:04:26	13.558
232	07/25/17 12:05:26	13.558
233	07/25/17 12:06:26	13.558
234	07/25/17 12:07:26	13.558
235	07/25/17 12:08:26	13.558
236	07/25/17 12:09:26	13.461
237	07/25/17 12:10:26	13.461
238	07/25/17 12:11:26	13.558
239	07/25/17 12:12:26	13.558
240	07/25/17 12:13:26	13.461
241	07/25/17 12:14:26	13.558
242	07/25/17 12:15:26	13.461
243	07/25/17 12:16:26	13.461
244	07/25/17 12:17:26	13.461
245	07/25/17 12:18:26	13.461
246	07/25/17 12:19:26	13.461
247	07/25/17 12:20:26	13.461
248	07/25/17 12:21:26	13.461
249	07/25/17 12:22:26	13.461
250	07/25/17 12:23:26	13.461
251	07/25/17 12:24:26	13.461
252	07/25/17 12:25:26	13.461
253	07/25/17 12:26:26	13.461
254	07/25/17 12:27:26	13.461
255	07/25/17 12:28:26	13.461
256	07/25/17 12:29:26	13.461
257	07/25/17 12:30:26	13.461
258	07/25/17 12:31:26	13.461
259	07/25/17 12:32:26	13.654
260	07/25/17 12:33:26	13.750
261	07/25/17 12:34:26	13.750
262	07/25/17 12:35:26	13.750
263	07/25/17 12:36:26	13.750
264	07/25/17 12:37:26	13.846
265	07/25/17 12:38:26	13.750
266	07/25/17 12:39:26	13.846
267	07/25/17 12:40:26	13.846
268	07/25/17 12:41:26	13.846
269	07/25/17 12:42:26	13.846
270	07/25/17 12:43:26	13.846
271	07/25/17 12:44:26	13.846
272	07/25/17 12:45:26	13.846
273	07/25/17 12:46:26	13.846
274	07/25/17 12:47:26	13.846
275	07/25/17 12:48:26	13.846
276	07/25/17 12:49:26	13.846
277	07/25/17 12:50:26	13.846
278	07/25/17 12:51:26	13.846
279	07/25/17 12:52:26	13.846
280	07/25/17 12:53:26	13.750
281	07/25/17 12:54:26	13.654
282	07/25/17 12:55:26	13.558
283	07/25/17 12:56:26	13.461
284	07/25/17 12:57:26	13.365
285	07/25/17 12:58:26	13.173
286	07/25/17 12:59:26	13.076
287	07/25/17 13:00:26	12.980
288	07/25/17 13:01:26	12.787
289	07/25/17 13:02:26	12.690
290	07/25/17 13:03:26	12.594
291	07/25/17 13:04:26	12.401
292	07/25/17 13:05:26	12.304
293	07/25/17 13:06:26	12.207
294	07/25/17 13:07:26	12.110
295	07/25/17 13:08:26	12.013
296	07/25/17 13:09:26	11.916
297	07/25/17 13:10:26	11.819
298	07/25/17 13:11:26	11.722
299	07/25/17 13:12:26	11.625
300	07/25/17 13:13:26	11.625
301	07/25/17 13:14:26	11.528
302	07/25/17 13:15:26	11.431
303	07/25/17 13:16:26	11.334
304	07/25/17 13:17:26	11.236
305	07/25/17 13:18:26	11.139
306	07/25/17 13:19:26	11.139
307	07/25/17 13:20:26	11.041
308	07/25/17 13:21:26	10.944
309	07/25/17 13:22:26	10.846
310	07/25/17 13:23:26	10.846
311	07/25/17 13:24:26	10.748
312	07/25/17 13:25:26	10.651
313	07/25/17 13:26:26	10.553
314	07/25/17 13:27:26	10.553
315	07/25/17 13:28:26	10.455
316	07/25/17 13:29:26	10.357
317	07/25/17 13:30:26	10.357
318	07/25/17 13:31:26	10.455
319	07/25/17 13:32:26	10.553
320	07/25/17 13:33:26	10.553
321	07/25/17 13:34:26	10.553
322	07/25/17 13:35:26	10.553
323	07/25/17 13:36:26	10.553
324	07/25/17 13:37:26	10.553
325	07/25/17 13:38:26	10.651
326	07/25/17 13:39:26	10.553
327	07/25/17 13:40:26	10.651
328	07/25/17 13:41:26	10.651
329	07/25/17 13:42:26	10.651
330	07/25/17 13:43:26	10.651
331	07/25/17 13:44:26	10.651
332	07/25/17 13:45:26	10.651
333	07/25/17 13:46:26	10.651
334	07/25/17 13:47:26	10.651
335	07/25/17 13:48:26	10.651
336	07/25/17 13:49:26	10.553
337	07/25/17 13:50:26	10.553
338	07/25/17 13:51:26	10.553
339	07/25/17 13:52:26	10.553
340	07/25/17 13:53:26	10.553
341	07/25/17 13:54:26	10.553
342	07/25/17 13:55:26	10.553
343	07/25/17 13:56:26	10.553
344	07/25/17 13:57:26	10.553
345	07/25/17 13:58:26	10.553
346	07/25/17 13:59:26	10.553
347	07/25/17 14:00:26	10.553
348	07/25/17 14:01:26	10.553
349	07/25/17 14:02:26	10.553
350	07/25/17 14:03:26	10.553
351	07/25/17 14:04:26	10.553
352	07/25/17 14:05:26	10.553
353	07/25/17 14:06:26	10.553
354	07/25/17 14:07:26	10.553
355	07/25/17 14:08:26	10.553
356	07/25/17 14:09:26	10.553
357	07/25/17 14:10:26	10.553
358	07/25/17 14:11:26	10.553
359	07/25/17 14:12:26	10.651
360	07/25/17 14:13:26	10.651
361	07/25/17 14:14:26	10.651
362	07/25/17 14:15:26	10.748
363	07/25/17 14:16:26	10.846
364	07/25/17 14:17:26	10.846
365	07/25/17 14:18:26	10.846
366	07/25/17 14:19:26	10.944
367	07/25/17 14:20:26	11.041
368	07/25/17 14:21:26	11.041
369	07/25/17 14:22:26	10.944
370	07/25/17 14:23:26	10.944
371	07/25/17 14:24:26	10.944
372	07/25/17 14:25:26	10.846
373	07/25/17 14:26:26	10.846
374	07/25/17 14:27:26	10.944
375	07/25/17 14:28:26	11.041
376	07/25/17 14:29:26	11.041
377	07/25/17 14:30:26	10.944
378	07/25/17 14:31:26	10.944
379	07/25/17 14:32:26	11.041
380	07/25/17 14:33:26	11.041
381	07/25/17 14:34:26	10.944
382	07/25/17 14:35:26	10.846
383	07/25/17 14:36:26	10.748
384	07/25/17 14:37:26	10.748
385	07/25/17 14:38:26	10.748
386	07/25/17 14:39:26	10.651
387	07/25/17 14:40:26	10.553
388	07/25/17 14:41:26	10.553
389	07/25/17 14:42:26	10.357
390	07/25/17 14:43:26	10.357
391	07/25/17 14:44:26	10.161
392	07/25/17 14:45:26	10.063
393	07/25/17 14:46:26	9.965
394	07/25/17 14:47:26	9.866
395	07/25/17 14:48:26	9.768
396	07/25/17 14:49:26	9.669
397	07/25/17 14:50:26	9.571
398	07/25/17 14:51:26	9.571
399	07/25/17 14:52:26	9.472
400	07/25/17 14:53:26	9.373
401	07/25/17 14:54:26	9.275
402	07/25/17 14:55:26	9.176
403	07/25/17 14:56:26	9.176
404	07/25/17 14:57:26	9.077
405	07/25/17 14:58:26	8.978
406	07/25/17 14:59:26	8.978
407	07/25/17 15:00:26	8.879
408	07/25/17 15:01:26	8.779
409	07/25/17 15:02:26	8.779
410	07/25/17 15:03:26	8.680
411	07/25/17 15:04:26	8.680
412	07/25/17 15:05:26	8.581
413	07/25/17 15:06:26	8.481
414	07/25/17 15:07:26	8.481
415	07/25/17 15:08:26	8.382
416	07/25/17 15:09:26	8.382
417	07/25/17 15:10:26	8.282
418	07/25/17 15:11:26	8.282
419	07/25/17 15:12:26	8.182
420	07/25/17 15:13:26	8.182
421	07/25/17 15:14:26	8.082
422	07/25/17 15:15:26	8.082
423	07/25/17 15:16:26	7.983
424	07/25/17 15:17:26	7.882
425	07/25/17 15:18:26	7.882
426	07/25/17 15:19:26	7.782
427	07/25/17 15:20:26	7.782
428	07/25/17 15:21:26	7.682
429	07/25/17 15:22:26	7.682
430	07/25/17 15:23:26	7.682
431	07/25/17 15:24:26	7.582
432	07/25/17 15:25:26	7.582
433	07/25/17 15:26:26	7.481
434	07/25/17 15:27:26	7.481
435	07/25/17 15:28:26	7.481
436	07/25/17 15:29:26	7.481
437	07/25/17 15:30:26	7.481
438	07/25/17 15:31:26	7.582
439	07/25/17 15:32:26	7.582
440	07/25/17 15:33:26	7.582
441	07/25/17 15:34:26	7.682
442	07/25/17 15:35:26	7.682
443	07/25/17 15:36:26	7.682
444	07/25/17 15:37:26	7.682
445	07/25/17 15:38:26	7.682
446	07/25/17 15:39:26	7.682
447	07/25/17 15:40:26	7.682
448	07/25/17 15:41:26	7.682
449	07/25/17 15:42:26	7.682
450	07/25/17 15:43:26	7.682
451	07/25/17 15:44:26	7.682
452	07/25/17 15:45:26	7.682
453	07/25/17 15:46:26	7.682
454	07/25/17 15:47:26	7.682
455	07/25/17 15:48:26	7.682
456	07/25/17 15:49:26	7.682
457	07/25/17 15:50:26	7.782
458	07/25/17 15:51:26	7.782
459	07/25/17 15:52:26	7.782
460	07/25/17 15:53:26	7.782
461	07/25/17 15:54:26	7.782
462	07/25/17 15:55:26	7.782
463	07/25/17 15:56:26	7.882
464	07/25/17 15:57:26	7.782
465	07/25/17 15:58:26	7.782
466	07/25/17 15:59:26	7.782
467	07/25/17 16:00:26	7.782
468	07/25/17 16:01:26	7.682
469	07/25/17 16:02:26	7.782
470	07/25/17 16:03:26	7.983
471	07/25/17 16:04:26	8.082
472	07/25/17 16:05:26	8.082
473	07/25/17 16:06:26	8.082
474	07/25/17 16:07:26	8.082
475	07/25/17 16:08:26	7.983
476	07/25/17 16:09:26	7.983
477	07/25/17 16:10:26	7.983
478	07/25/17 16:11:26	7.983
479	07/25/17 16:12:26	7.983
480	07/25/17 16:13:26	7.983
481	07/25/17 16:14:26	8.082
482	07/25/17 16:15:26	8.082
483	07/25/17 16:16:26	7.983
484	07/25/17 16:17:26	7.983
485	07/25/17 16:18:26	7.983
486	07/25/17 16:19:26	7.882
487	07/25/17 16:20:26	7.882
488	07/25/17 16:21:26	7.882
489	07/25/17 16:22:26	7.882
490	07/25/17 16:23:26	7.782
491	07/25/17 16:24:26	7.682
