RecNum	DateTime	ColdRampSkeleton07242017
32	07/24/17 08:20:41	19.377
33	07/24/17 08:21:41	19.377
34	07/24/17 08:22:41	19.377
35	07/24/17 08:23:41	19.377
36	07/24/17 08:24:41	19.377
37	07/24/17 08:25:41	19.377
38	07/24/17 08:26:41	19.377
39	07/24/17 08:27:41	19.377
40	07/24/17 08:28:41	19.377
41	07/24/17 08:29:41	19.377
42	07/24/17 08:30:41	19.377
43	07/24/17 08:31:41	19.377
44	07/24/17 08:32:41	19.377
45	07/24/17 08:33:41	19.377
46	07/24/17 08:34:41	19.377
47	07/24/17 08:35:41	19.377
48	07/24/17 08:36:41	19.377
49	07/24/17 08:37:41	19.377
50	07/24/17 08:38:41	19.377
51	07/24/17 08:39:41	19.377
52	07/24/17 08:40:41	19.377
53	07/24/17 08:41:41	19.377
54	07/24/17 08:42:41	19.377
55	07/24/17 08:43:41	19.377
56	07/24/17 08:44:41	19.377
57	07/24/17 08:45:41	19.377
58	07/24/17 08:46:41	19.377
59	07/24/17 08:47:41	19.377
60	07/24/17 08:48:41	19.377
61	07/24/17 08:49:41	19.377
62	07/24/17 08:50:41	19.377
63	07/24/17 08:51:41	19.472
64	07/24/17 08:52:41	19.567
65	07/24/17 08:53:41	19.662
66	07/24/17 08:54:41	19.662
67	07/24/17 08:55:41	19.662
68	07/24/17 08:56:41	19.662
69	07/24/17 08:57:41	19.662
70	07/24/17 08:58:41	19.662
71	07/24/17 08:59:41	19.662
72	07/24/17 09:00:41	19.662
73	07/24/17 09:01:41	19.662
74	07/24/17 09:02:41	19.662
75	07/24/17 09:03:41	19.662
76	07/24/17 09:04:41	19.662
77	07/24/17 09:05:41	19.662
78	07/24/17 09:06:41	19.662
79	07/24/17 09:07:41	19.662
80	07/24/17 09:08:41	19.662
81	07/24/17 09:09:41	19.662
82	07/24/17 09:10:41	19.662
83	07/24/17 09:11:41	19.662
84	07/24/17 09:12:41	19.662
85	07/24/17 09:13:41	19.567
86	07/24/17 09:14:41	19.472
87	07/24/17 09:15:41	19.377
88	07/24/17 09:16:41	19.187
89	07/24/17 09:17:41	19.092
90	07/24/17 09:18:41	18.996
91	07/24/17 09:19:41	18.806
92	07/24/17 09:20:41	18.711
93	07/24/17 09:21:41	18.616
94	07/24/17 09:22:41	18.521
95	07/24/17 09:23:41	18.331
96	07/24/17 09:24:41	18.236
97	07/24/17 09:25:41	18.140
98	07/24/17 09:26:41	18.045
99	07/24/17 09:27:41	17.950
100	07/24/17 09:28:41	17.855
101	07/24/17 09:29:41	17.760
102	07/24/17 09:30:41	17.665
103	07/24/17 09:31:41	17.570
104	07/24/17 09:32:41	17.475
105	07/24/17 09:33:41	17.379
106	07/24/17 09:34:41	17.284
107	07/24/17 09:35:41	17.189
108	07/24/17 09:36:41	17.094
109	07/24/17 09:37:41	16.999
110	07/24/17 09:38:41	16.903
111	07/24/17 09:39:41	16.808
112	07/24/17 09:40:41	16.713
113	07/24/17 09:41:41	16.618
114	07/24/17 09:42:41	16.523
115	07/24/17 09:43:41	16.427
116	07/24/17 09:44:41	16.332
117	07/24/17 09:45:41	16.427
118	07/24/17 09:46:41	16.523
119	07/24/17 09:47:41	16.523
120	07/24/17 09:48:41	16.523
121	07/24/17 09:49:41	16.523
122	07/24/17 09:50:41	16.523
123	07/24/17 09:51:41	16.523
124	07/24/17 09:52:41	16.523
125	07/24/17 09:53:41	16.523
126	07/24/17 09:54:41	16.523
127	07/24/17 09:55:41	16.523
128	07/24/17 09:56:41	16.618
129	07/24/17 09:57:41	16.523
130	07/24/17 09:58:41	16.523
131	07/24/17 09:59:41	16.523
132	07/24/17 10:00:41	16.523
133	07/24/17 10:01:41	16.523
134	07/24/17 10:02:41	16.523
135	07/24/17 10:03:41	16.523
136	07/24/17 10:04:41	16.523
137	07/24/17 10:05:41	16.523
138	07/24/17 10:06:41	16.523
139	07/24/17 10:07:41	16.523
140	07/24/17 10:08:41	16.523
141	07/24/17 10:09:41	16.523
142	07/24/17 10:10:41	16.523
143	07/24/17 10:11:41	16.523
144	07/24/17 10:12:41	16.523
145	07/24/17 10:13:41	16.523
146	07/24/17 10:14:41	16.523
147	07/24/17 10:15:41	16.523
148	07/24/17 10:16:41	16.523
149	07/24/17 10:17:41	16.523
150	07/24/17 10:18:41	16.523
151	07/24/17 10:19:41	16.523
152	07/24/17 10:20:41	16.523
153	07/24/17 10:21:41	16.523
154	07/24/17 10:22:41	16.523
155	07/24/17 10:23:41	16.523
156	07/24/17 10:24:41	16.523
157	07/24/17 10:25:41	16.523
158	07/24/17 10:26:41	16.523
159	07/24/17 10:27:41	16.523
160	07/24/17 10:28:41	16.523
161	07/24/17 10:29:41	16.523
162	07/24/17 10:30:41	16.523
163	07/24/17 10:31:41	16.618
164	07/24/17 10:32:41	16.713
