RecNum	DateTime	ColdRamp07122017
26	07/12/17 08:32:02.0	19.377
27	07/12/17 08:33:02.0	19.377
28	07/12/17 08:34:02.0	19.377
29	07/12/17 08:35:02.0	19.377
30	07/12/17 08:36:02.0	19.377
31	07/12/17 08:37:02.0	19.377
32	07/12/17 08:38:02.0	19.377
33	07/12/17 08:39:02.0	19.377
34	07/12/17 08:40:02.0	19.377
35	07/12/17 08:41:02.0	19.377
36	07/12/17 08:42:02.0	19.377
37	07/12/17 08:43:02.0	19.377
38	07/12/17 08:44:02.0	19.377
39	07/12/17 08:45:02.0	19.377
40	07/12/17 08:46:02.0	19.377
41	07/12/17 08:47:02.0	19.377
42	07/12/17 08:48:02.0	19.377
43	07/12/17 08:49:02.0	19.377
44	07/12/17 08:50:02.0	19.377
45	07/12/17 08:51:02.0	19.377
46	07/12/17 08:52:02.0	19.377
47	07/12/17 08:53:02.0	19.377
48	07/12/17 08:54:02.0	19.377
49	07/12/17 08:55:02.0	19.377
50	07/12/17 08:56:02.0	19.377
51	07/12/17 08:57:02.0	19.377
52	07/12/17 08:58:02.0	19.377
53	07/12/17 08:59:02.0	19.377
54	07/12/17 09:00:02.0	19.377
55	07/12/17 09:01:02.0	19.377
56	07/12/17 09:02:02.0	19.377
57	07/12/17 09:03:02.0	19.377
58	07/12/17 09:04:02.0	19.377
59	07/12/17 09:05:02.0	19.377
60	07/12/17 09:06:02.0	19.472
61	07/12/17 09:07:02.0	19.567
62	07/12/17 09:08:02.0	19.567
63	07/12/17 09:09:02.0	19.662
64	07/12/17 09:10:02.0	19.662
65	07/12/17 09:11:02.0	19.662
66	07/12/17 09:12:02.0	19.662
67	07/12/17 09:13:02.0	19.662
68	07/12/17 09:14:02.0	19.662
69	07/12/17 09:15:02.0	19.662
70	07/12/17 09:16:02.0	19.662
71	07/12/17 09:17:02.0	19.662
72	07/12/17 09:18:02.0	19.662
73	07/12/17 09:19:02.0	19.662
74	07/12/17 09:20:02.0	19.662
75	07/12/17 09:21:02.0	19.662
76	07/12/17 09:22:02.0	19.662
77	07/12/17 09:23:02.0	19.662
78	07/12/17 09:24:02.0	19.662
79	07/12/17 09:25:02.0	19.662
80	07/12/17 09:26:02.0	19.662
81	07/12/17 09:27:02.0	19.662
82	07/12/17 09:28:02.0	19.567
83	07/12/17 09:29:02.0	19.567
84	07/12/17 09:30:02.0	19.472
85	07/12/17 09:31:02.0	19.472
86	07/12/17 09:32:02.0	19.282
87	07/12/17 09:33:02.0	19.187
88	07/12/17 09:34:02.0	19.092
89	07/12/17 09:35:02.0	18.996
90	07/12/17 09:36:02.0	18.901
91	07/12/17 09:37:02.0	18.806
92	07/12/17 09:38:02.0	18.806
93	07/12/17 09:39:02.0	18.711
94	07/12/17 09:40:02.0	18.616
95	07/12/17 09:41:02.0	18.521
96	07/12/17 09:42:02.0	18.426
97	07/12/17 09:43:02.0	18.426
98	07/12/17 09:44:02.0	18.331
99	07/12/17 09:45:02.0	18.236
100	07/12/17 09:46:02.0	18.236
101	07/12/17 09:47:02.0	18.140
102	07/12/17 09:48:02.0	18.045
103	07/12/17 09:49:02.0	17.950
104	07/12/17 09:50:02.0	17.855
105	07/12/17 09:51:02.0	17.855
106	07/12/17 09:52:02.0	17.760
107	07/12/17 09:53:02.0	17.665
108	07/12/17 09:54:02.0	17.665
109	07/12/17 09:55:02.0	17.570
110	07/12/17 09:56:02.0	17.475
111	07/12/17 09:57:02.0	17.475
112	07/12/17 09:58:02.0	17.379
