RecNum	DateTime	ColdRamp07132017
1587	07/13/17 10:33:02.0	16.523
1588	07/13/17 10:34:02.0	16.523
1589	07/13/17 10:35:02.0	16.523
1590	07/13/17 10:36:02.0	16.523
1591	07/13/17 10:37:02.0	16.523
1592	07/13/17 10:38:02.0	16.618
1593	07/13/17 10:39:02.0	16.713
1594	07/13/17 10:40:02.0	16.713
1595	07/13/17 10:41:02.0	16.713
1596	07/13/17 10:42:02.0	16.713
1597	07/13/17 10:43:02.0	16.713
1598	07/13/17 10:44:02.0	16.713
1599	07/13/17 10:45:02.0	16.713
1600	07/13/17 10:46:02.0	16.713
1601	07/13/17 10:47:02.0	16.713
1602	07/13/17 10:48:02.0	16.713
1603	07/13/17 10:49:02.0	16.713
1604	07/13/17 10:50:02.0	16.713
1605	07/13/17 10:51:02.0	16.713
1606	07/13/17 10:52:02.0	16.713
1607	07/13/17 10:53:02.0	16.713
1608	07/13/17 10:54:02.0	16.713
1609	07/13/17 10:55:02.0	16.713
1610	07/13/17 10:56:02.0	16.713
1611	07/13/17 10:57:02.0	16.713
1612	07/13/17 10:58:02.0	16.713
1613	07/13/17 10:59:02.0	16.713
1614	07/13/17 11:00:02.0	16.713
1615	07/13/17 11:01:02.0	16.713
1616	07/13/17 11:02:02.0	16.713
1617	07/13/17 11:03:02.0	16.618
1618	07/13/17 11:04:02.0	16.523
1619	07/13/17 11:05:02.0	16.427
1620	07/13/17 11:06:02.0	16.332
1621	07/13/17 11:07:02.0	16.237
1622	07/13/17 11:08:02.0	16.141
1623	07/13/17 11:09:02.0	16.141
1624	07/13/17 11:10:02.0	16.046
1625	07/13/17 11:11:02.0	15.951
1626	07/13/17 11:12:02.0	15.855
1627	07/13/17 11:13:02.0	15.760
1628	07/13/17 11:14:02.0	15.760
1629	07/13/17 11:15:02.0	15.664
1630	07/13/17 11:16:02.0	15.569
1631	07/13/17 11:17:02.0	15.569
1632	07/13/17 11:18:02.0	15.473
1633	07/13/17 11:19:02.0	15.378
1634	07/13/17 11:20:02.0	15.378
1635	07/13/17 11:21:02.0	15.282
1636	07/13/17 11:22:02.0	15.187
1637	07/13/17 11:23:02.0	15.187
1638	07/13/17 11:24:02.0	15.091
1639	07/13/17 11:25:02.0	14.996
1640	07/13/17 11:26:02.0	14.996
1641	07/13/17 11:27:02.0	14.900
1642	07/13/17 11:28:02.0	14.804
1643	07/13/17 11:29:02.0	14.804
1644	07/13/17 11:30:02.0	14.709
1645	07/13/17 11:31:02.0	14.613
1646	07/13/17 11:32:02.0	14.613
1647	07/13/17 11:33:02.0	14.517
1648	07/13/17 11:34:02.0	14.421
1649	07/13/17 11:35:02.0	14.421
1650	07/13/17 11:36:02.0	14.325
1651	07/13/17 11:37:02.0	14.325
1652	07/13/17 11:38:02.0	14.230
1653	07/13/17 11:39:02.0	14.134
1654	07/13/17 11:40:02.0	14.134
1655	07/13/17 11:41:02.0	14.038
1656	07/13/17 11:42:02.0	14.038
1657	07/13/17 11:43:02.0	13.942
1658	07/13/17 11:44:02.0	13.846
1659	07/13/17 11:45:02.0	13.846
1660	07/13/17 11:46:02.0	13.750
1661	07/13/17 11:47:02.0	13.750
1662	07/13/17 11:48:02.0	13.654
1663	07/13/17 11:49:02.0	13.558
1664	07/13/17 11:50:02.0	13.558
1665	07/13/17 11:51:02.0	13.461
1666	07/13/17 11:52:02.0	13.461
1667	07/13/17 11:53:02.0	13.365
1668	07/13/17 11:54:02.0	13.365
1669	07/13/17 11:55:02.0	13.269
1670	07/13/17 11:56:02.0	13.365
1671	07/13/17 11:57:02.0	13.461
1672	07/13/17 11:58:02.0	13.461
1673	07/13/17 11:59:02.0	13.558
1674	07/13/17 12:00:02.0	13.558
1675	07/13/17 12:01:02.0	13.558
1676	07/13/17 12:02:02.0	13.558
1677	07/13/17 12:03:02.0	13.654
1678	07/13/17 12:04:02.0	13.654
1679	07/13/17 12:05:02.0	13.654
1680	07/13/17 12:06:02.0	13.654
1681	07/13/17 12:07:02.0	13.654
1682	07/13/17 12:08:02.0	13.654
1683	07/13/17 12:09:02.0	13.654
1684	07/13/17 12:10:02.0	13.654
1685	07/13/17 12:11:02.0	13.654
1686	07/13/17 12:12:02.0	13.654
1687	07/13/17 12:13:02.0	13.654
1688	07/13/17 12:14:02.0	13.654
1689	07/13/17 12:15:02.0	13.654
1690	07/13/17 12:16:02.0	13.654
1691	07/13/17 12:17:02.0	13.654
1692	07/13/17 12:18:02.0	13.654
1693	07/13/17 12:19:02.0	13.750
1694	07/13/17 12:20:02.0	13.750
1695	07/13/17 12:21:02.0	13.750
1696	07/13/17 12:22:02.0	13.750
1697	07/13/17 12:23:02.0	13.750
1698	07/13/17 12:24:02.0	13.846
1699	07/13/17 12:25:02.0	13.846
1700	07/13/17 12:26:02.0	13.750
1701	07/13/17 12:27:02.0	13.750
1702	07/13/17 12:28:02.0	13.942
1703	07/13/17 12:29:02.0	14.038
1704	07/13/17 12:30:02.0	14.038
1705	07/13/17 12:31:02.0	14.038
1706	07/13/17 12:32:02.0	14.038
1707	07/13/17 12:33:02.0	14.038
1708	07/13/17 12:34:02.0	14.134
1709	07/13/17 12:35:02.0	14.134
1710	07/13/17 12:36:02.0	14.038
1711	07/13/17 12:37:02.0	14.038
1712	07/13/17 12:38:02.0	14.038
1713	07/13/17 12:39:02.0	14.134
1714	07/13/17 12:40:02.0	14.134
1715	07/13/17 12:41:02.0	14.038
1716	07/13/17 12:42:02.0	14.038
1717	07/13/17 12:43:02.0	14.038
1718	07/13/17 12:44:02.0	14.134
1719	07/13/17 12:45:02.0	14.134
1720	07/13/17 12:46:02.0	14.038
1721	07/13/17 12:47:02.0	14.038
1722	07/13/17 12:48:02.0	13.942
1723	07/13/17 12:49:02.0	14.038
1724	07/13/17 12:50:02.0	14.038
1725	07/13/17 12:51:02.0	13.942
1726	07/13/17 12:52:02.0	13.750
1727	07/13/17 12:53:02.0	13.654
1728	07/13/17 12:54:02.0	13.558
1729	07/13/17 12:55:02.0	13.461
1730	07/13/17 12:56:02.0	13.365
1731	07/13/17 12:57:02.0	13.269
1732	07/13/17 12:58:02.0	13.173
1733	07/13/17 12:59:02.0	13.173
1734	07/13/17 13:00:02.0	12.980
1735	07/13/17 13:01:02.0	12.980
1736	07/13/17 13:02:02.0	12.787
1737	07/13/17 13:03:02.0	12.690
1738	07/13/17 13:04:02.0	12.594
1739	07/13/17 13:05:02.0	12.497
1740	07/13/17 13:06:02.0	12.401
1741	07/13/17 13:07:02.0	12.207
1742	07/13/17 13:08:02.0	12.110
1743	07/13/17 13:09:02.0	12.013
1744	07/13/17 13:10:02.0	11.916
1745	07/13/17 13:11:02.0	11.819
1746	07/13/17 13:12:02.0	11.819
1747	07/13/17 13:13:02.0	11.722
