RecNum	DateTime	HeatRampSkeleton07192017
23	07/19/17 08:44:13	19.472
24	07/19/17 08:45:13	19.472
25	07/19/17 08:46:13	19.472
26	07/19/17 08:47:13	19.472
27	07/19/17 08:48:13	19.472
28	07/19/17 08:49:13	19.472
29	07/19/17 08:50:13	19.472
30	07/19/17 08:51:13	19.472
31	07/19/17 08:52:13	19.472
32	07/19/17 08:53:13	19.472
33	07/19/17 08:54:13	19.472
34	07/19/17 08:55:13	19.472
35	07/19/17 08:56:13	19.472
36	07/19/17 08:57:13	19.472
37	07/19/17 08:58:13	19.472
38	07/19/17 08:59:13	19.472
39	07/19/17 09:00:13	19.472
40	07/19/17 09:01:13	19.472
41	07/19/17 09:02:13	19.472
42	07/19/17 09:03:13	19.472
43	07/19/17 09:04:13	19.472
44	07/19/17 09:05:13	19.472
45	07/19/17 09:06:13	19.472
46	07/19/17 09:07:13	19.472
47	07/19/17 09:08:13	19.472
48	07/19/17 09:09:13	19.472
49	07/19/17 09:10:13	19.472
50	07/19/17 09:11:13	19.472
51	07/19/17 09:12:13	19.472
52	07/19/17 09:13:13	19.472
53	07/19/17 09:14:13	19.472
54	07/19/17 09:15:13	19.472
55	07/19/17 09:16:13	19.472
56	07/19/17 09:17:13	19.472
57	07/19/17 09:18:13	19.567
58	07/19/17 09:19:13	19.662
59	07/19/17 09:20:13	19.662
60	07/19/17 09:21:13	19.662
61	07/19/17 09:22:13	19.662
62	07/19/17 09:23:13	19.662
63	07/19/17 09:24:13	19.662
64	07/19/17 09:25:13	19.662
65	07/19/17 09:26:13	19.662
66	07/19/17 09:27:13	19.662
67	07/19/17 09:28:13	19.662
68	07/19/17 09:29:13	19.662
69	07/19/17 09:30:13	19.662
70	07/19/17 09:31:13	19.662
71	07/19/17 09:32:13	19.662
72	07/19/17 09:33:13	19.662
73	07/19/17 09:34:13	19.662
74	07/19/17 09:35:13	19.662
75	07/19/17 09:36:13	19.662
76	07/19/17 09:37:13	19.662
77	07/19/17 09:38:13	19.662
78	07/19/17 09:39:13	19.662
79	07/19/17 09:40:13	19.662
80	07/19/17 09:41:13	19.662
81	07/19/17 09:42:13	19.662
82	07/19/17 09:43:13	19.662
83	07/19/17 09:44:13	19.567
84	07/19/17 09:45:13	19.567
85	07/19/17 09:46:13	19.567
86	07/19/17 09:47:13	19.567
87	07/19/17 09:48:13	19.662
88	07/19/17 09:49:13	19.758
89	07/19/17 09:50:13	19.853
90	07/19/17 09:51:13	19.948
91	07/19/17 09:52:13	20.043
92	07/19/17 09:53:13	20.138
93	07/19/17 09:54:13	20.329
94	07/19/17 09:55:13	20.424
95	07/19/17 09:56:13	20.519
96	07/19/17 09:57:13	20.710
97	07/19/17 09:58:13	20.901
98	07/19/17 09:59:13	20.996
99	07/19/17 10:00:13	21.187
100	07/19/17 10:01:13	21.282
101	07/19/17 10:02:13	21.473
102	07/19/17 10:03:13	21.664
103	07/19/17 10:04:13	21.760
104	07/19/17 10:05:13	21.951
105	07/19/17 10:06:13	22.142
106	07/19/17 10:07:13	22.238
107	07/19/17 10:08:13	22.429
108	07/19/17 10:09:13	22.525
109	07/19/17 10:10:13	22.717
110	07/19/17 10:11:13	22.908
111	07/19/17 10:12:13	23.004
112	07/19/17 10:13:13	23.196
113	07/19/17 10:14:13	23.292
114	07/19/17 10:15:13	23.388
115	07/19/17 10:16:13	23.484
116	07/19/17 10:17:13	23.581
117	07/19/17 10:18:13	23.581
118	07/19/17 10:19:13	23.581
119	07/19/17 10:20:13	23.677
120	07/19/17 10:21:13	23.581
121	07/19/17 10:22:13	23.677
122	07/19/17 10:23:13	23.581
123	07/19/17 10:24:13	23.581
124	07/19/17 10:25:13	23.581
125	07/19/17 10:26:13	23.581
126	07/19/17 10:27:13	23.581
127	07/19/17 10:28:13	23.581
128	07/19/17 10:29:13	23.581
129	07/19/17 10:30:13	23.581
130	07/19/17 10:31:13	23.484
131	07/19/17 10:32:13	23.484
132	07/19/17 10:33:13	23.484
133	07/19/17 10:34:13	23.484
134	07/19/17 10:35:13	23.484
135	07/19/17 10:36:13	23.484
136	07/19/17 10:37:13	23.484
137	07/19/17 10:38:13	23.388
138	07/19/17 10:39:13	23.388
139	07/19/17 10:40:13	23.388
140	07/19/17 10:41:13	23.388
141	07/19/17 10:42:13	23.388
142	07/19/17 10:43:13	23.388
143	07/19/17 10:44:13	23.388
144	07/19/17 10:45:13	23.388
145	07/19/17 10:46:13	23.388
146	07/19/17 10:47:13	23.388
147	07/19/17 10:48:13	23.388
148	07/19/17 10:49:13	23.388
149	07/19/17 10:50:13	23.388
150	07/19/17 10:51:13	23.388
151	07/19/17 10:52:13	23.388
152	07/19/17 10:53:13	23.388
153	07/19/17 10:54:13	23.388
154	07/19/17 10:55:13	23.388
155	07/19/17 10:56:13	23.388
156	07/19/17 10:57:13	23.388
157	07/19/17 10:58:13	23.388
158	07/19/17 10:59:13	23.388
159	07/19/17 11:00:13	23.388
160	07/19/17 11:01:13	23.388
161	07/19/17 11:02:13	23.388
162	07/19/17 11:03:13	23.484
163	07/19/17 11:04:13	23.581
164	07/19/17 11:05:13	23.581
165	07/19/17 11:06:13	23.581
166	07/19/17 11:07:13	23.581
167	07/19/17 11:08:13	23.581
168	07/19/17 11:09:13	23.581
169	07/19/17 11:10:13	23.581
170	07/19/17 11:11:13	23.581
171	07/19/17 11:12:13	23.581
172	07/19/17 11:13:13	23.581
173	07/19/17 11:14:13	23.677
174	07/19/17 11:15:13	23.581
175	07/19/17 11:16:13	23.581
176	07/19/17 11:17:13	23.677
177	07/19/17 11:18:13	23.581
178	07/19/17 11:19:13	23.677
179	07/19/17 11:20:13	23.677
180	07/19/17 11:21:13	23.581
181	07/19/17 11:22:13	23.581
182	07/19/17 11:23:13	23.581
183	07/19/17 11:24:13	23.677
184	07/19/17 11:25:13	23.677
185	07/19/17 11:26:13	23.677
186	07/19/17 11:27:13	23.677
187	07/19/17 11:28:13	23.581
188	07/19/17 11:29:13	23.677
189	07/19/17 11:30:13	23.677
190	07/19/17 11:31:13	23.581
191	07/19/17 11:32:13	23.484
192	07/19/17 11:33:13	23.484
193	07/19/17 11:34:13	23.484
194	07/19/17 11:35:13	23.388
195	07/19/17 11:36:13	23.388
196	07/19/17 11:37:13	23.484
197	07/19/17 11:38:13	23.484
198	07/19/17 11:39:13	23.581
199	07/19/17 11:40:13	23.677
200	07/19/17 11:41:13	23.773
201	07/19/17 11:42:13	23.869
202	07/19/17 11:43:13	23.966
203	07/19/17 11:44:13	24.158
204	07/19/17 11:45:13	24.255
205	07/19/17 11:46:13	24.351
206	07/19/17 11:47:13	24.448
207	07/19/17 11:48:13	24.641
208	07/19/17 11:49:13	24.738
209	07/19/17 11:50:13	24.931
210	07/19/17 11:51:13	25.028
211	07/19/17 11:52:13	25.222
212	07/19/17 11:53:13	25.319
213	07/19/17 11:54:13	25.513
214	07/19/17 11:55:13	25.610
215	07/19/17 11:56:13	25.708
216	07/19/17 11:57:13	25.902
217	07/19/17 11:58:13	26.000
218	07/19/17 11:59:13	26.195
219	07/19/17 12:00:13	26.292
220	07/19/17 12:01:13	26.488
221	07/19/17 12:02:13	26.585
222	07/19/17 12:03:13	26.683
223	07/19/17 12:04:13	26.879
224	07/19/17 12:05:13	26.977
225	07/19/17 12:06:13	27.075
226	07/19/17 12:07:13	27.272
227	07/19/17 12:08:13	27.370
228	07/19/17 12:09:13	27.468
229	07/19/17 12:10:13	27.665
230	07/19/17 12:11:13	27.764
231	07/19/17 12:12:13	27.764
232	07/19/17 12:13:13	27.764
233	07/19/17 12:14:13	27.764
234	07/19/17 12:15:13	27.764
235	07/19/17 12:16:13	27.764
236	07/19/17 12:17:13	27.764
237	07/19/17 12:18:13	27.764
238	07/19/17 12:19:13	27.665
239	07/19/17 12:20:13	27.665
240	07/19/17 12:21:13	27.665
241	07/19/17 12:22:13	27.567
242	07/19/17 12:23:13	27.567
243	07/19/17 12:24:13	27.567
244	07/19/17 12:25:13	27.468
245	07/19/17 12:26:13	27.468
246	07/19/17 12:27:13	27.468
247	07/19/17 12:28:13	27.468
248	07/19/17 12:29:13	27.468
249	07/19/17 12:30:13	27.370
250	07/19/17 12:31:13	27.370
251	07/19/17 12:32:13	27.370
252	07/19/17 12:33:13	27.370
253	07/19/17 12:34:13	27.370
254	07/19/17 12:35:13	27.370
255	07/19/17 12:36:13	27.370
256	07/19/17 12:37:13	27.272
257	07/19/17 12:38:13	27.272
258	07/19/17 12:39:13	27.272
259	07/19/17 12:40:13	27.272
260	07/19/17 12:41:13	27.272
261	07/19/17 12:42:13	27.173
262	07/19/17 12:43:13	27.272
263	07/19/17 12:44:13	27.173
264	07/19/17 12:45:13	27.173
265	07/19/17 12:46:13	27.173
266	07/19/17 12:47:13	27.173
267	07/19/17 12:48:13	27.173
268	07/19/17 12:49:13	27.173
269	07/19/17 12:50:13	27.173
270	07/19/17 12:51:13	27.173
271	07/19/17 12:52:13	27.173
272	07/19/17 12:53:13	27.173
273	07/19/17 12:54:13	27.272
274	07/19/17 12:55:13	27.272
275	07/19/17 12:56:13	27.468
276	07/19/17 12:57:13	27.468
277	07/19/17 12:58:13	27.468
278	07/19/17 12:59:13	27.468
279	07/19/17 13:00:13	27.567
280	07/19/17 13:01:13	27.567
281	07/19/17 13:02:13	27.567
282	07/19/17 13:03:13	27.567
283	07/19/17 13:04:13	27.567
284	07/19/17 13:05:13	27.567
