"Plot Title: HeatRampSkeleton07212017"
"#"	"Date Time, GMT-04:00"	"Temp, °C (LGR S/N: 20014296, SEN S/N: 20014296)"	"Coupler Detached (LGR S/N: 20014296)"	"Coupler Attached (LGR S/N: 20014296)"	"Host Connected (LGR S/N: 20014296)"	"Stopped (LGR S/N: 20014296)"	"End Of File (LGR S/N: 20014296)"
1	07/21/17 07:49:28	20.424					
2	07/21/17 07:49:38		Logged				
3	07/21/17 07:50:28	20.519					
4	07/21/17 07:51:28	20.138					
5	07/21/17 07:52:28	19.853					
6	07/21/17 07:53:28	19.662					
7	07/21/17 07:54:28	19.567					
8	07/21/17 07:55:28	19.472					
9	07/21/17 07:56:28	19.472					
10	07/21/17 07:57:28	19.377					
11	07/21/17 07:58:28	19.377					
12	07/21/17 07:59:28	19.377					
13	07/21/17 08:00:28	19.377					
14	07/21/17 08:01:28	19.377					
15	07/21/17 08:02:28	19.377					
16	07/21/17 08:03:28	19.377					
17	07/21/17 08:04:28	19.377					
18	07/21/17 08:05:28	19.377					
19	07/21/17 08:06:28	19.377					
20	07/21/17 08:07:28	19.472					
21	07/21/17 08:08:28	19.377					
22	07/21/17 08:09:28	19.377					
23	07/21/17 08:10:28	19.377					
24	07/21/17 08:11:28	19.377					
25	07/21/17 08:12:28	19.377					
26	07/21/17 08:13:28	19.377					
27	07/21/17 08:14:28	19.377					
28	07/21/17 08:15:28	19.377					
29	07/21/17 08:16:28	19.377					
30	07/21/17 08:17:28	19.377					
31	07/21/17 08:18:28	19.377					
32	07/21/17 08:19:28	19.377					
33	07/21/17 08:20:28	19.377					
34	07/21/17 08:21:28	19.377					
35	07/21/17 08:22:28	19.377					
36	07/21/17 08:23:28	19.377					
37	07/21/17 08:24:28	19.377					
38	07/21/17 08:25:28	19.377					
39	07/21/17 08:26:28	19.377					
40	07/21/17 08:27:28	19.377					
41	07/21/17 08:28:28	19.377					
42	07/21/17 08:29:28	19.377					
43	07/21/17 08:30:28	19.377					
44	07/21/17 08:31:28	19.377					
45	07/21/17 08:32:28	19.377					
46	07/21/17 08:33:28	19.377					
47	07/21/17 08:34:28	19.377					
48	07/21/17 08:35:28	19.377					
49	07/21/17 08:36:28	19.377					
50	07/21/17 08:37:28	19.377					
51	07/21/17 08:38:28	19.377					
52	07/21/17 08:39:28	19.377					
53	07/21/17 08:40:28	19.377					
54	07/21/17 08:41:28	19.377					
55	07/21/17 08:42:28	19.377					
56	07/21/17 08:43:28	19.377					
57	07/21/17 08:44:28	19.377					
58	07/21/17 08:45:28	19.377					
59	07/21/17 08:46:28	19.377					
60	07/21/17 08:47:28	19.472					
61	07/21/17 08:48:28	19.377					
62	07/21/17 08:49:28	19.377					
63	07/21/17 08:50:28	19.377					
64	07/21/17 08:51:28	19.377					
65	07/21/17 08:52:28	19.377					
66	07/21/17 08:53:28	19.377					
67	07/21/17 08:54:28	19.377					
68	07/21/17 08:55:28	19.377					
69	07/21/17 08:56:28	19.472					
70	07/21/17 08:57:28	19.567					
71	07/21/17 08:58:28	19.662					
72	07/21/17 08:59:28	19.662					
73	07/21/17 09:00:28	19.662					
74	07/21/17 09:01:28	19.758					
75	07/21/17 09:02:28	19.758					
76	07/21/17 09:03:28	19.758					
77	07/21/17 09:04:28	19.758					
78	07/21/17 09:05:28	19.758					
79	07/21/17 09:06:28	19.758					
80	07/21/17 09:07:28	19.758					
81	07/21/17 09:08:28	19.758					
82	07/21/17 09:09:28	19.758					
83	07/21/17 09:10:28	19.758					
84	07/21/17 09:11:28	19.758					
85	07/21/17 09:12:28	19.662					
86	07/21/17 09:13:28	19.758					
87	07/21/17 09:14:28	19.758					
88	07/21/17 09:15:28	19.662					
89	07/21/17 09:16:28	19.662					
90	07/21/17 09:17:28	19.662					
91	07/21/17 09:18:28	19.567					
92	07/21/17 09:19:28	19.472					
93	07/21/17 09:20:28	19.472					
94	07/21/17 09:21:28	19.472					
95	07/21/17 09:22:28	19.567					
96	07/21/17 09:23:28	19.662					
97	07/21/17 09:24:28	19.662					
98	07/21/17 09:25:28	19.758					
99	07/21/17 09:26:28	19.853					
100	07/21/17 09:27:28	19.948					
101	07/21/17 09:28:28	20.138					
102	07/21/17 09:29:28	20.234					
103	07/21/17 09:30:28	20.424					
104	07/21/17 09:31:28	20.519					
105	07/21/17 09:32:28	20.615					
106	07/21/17 09:33:28	20.805					
107	07/21/17 09:34:28	20.996					
108	07/21/17 09:35:28	21.091					
109	07/21/17 09:36:28	21.282					
110	07/21/17 09:37:28	21.378					
111	07/21/17 09:38:28	21.569					
112	07/21/17 09:39:28	21.664					
113	07/21/17 09:40:28	21.855					
114	07/21/17 09:41:28	22.046					
115	07/21/17 09:42:28	22.142					
116	07/21/17 09:43:28	22.333					
117	07/21/17 09:44:28	22.525					
118	07/21/17 09:45:28	22.621					
119	07/21/17 09:46:28	22.812					
120	07/21/17 09:47:28	22.908					
121	07/21/17 09:48:28	23.100					
122	07/21/17 09:49:28	23.196					
123	07/21/17 09:50:28	23.388					
124	07/21/17 09:51:28	23.484					
125	07/21/17 09:52:28	23.677					
126	07/21/17 09:53:28	23.773					
127	07/21/17 09:54:28	23.773					
128	07/21/17 09:55:28	23.773					
129	07/21/17 09:56:28	23.773					
130	07/21/17 09:57:28	23.773					
131	07/21/17 09:58:28	23.773					
132	07/21/17 09:59:28	23.773					
133	07/21/17 10:00:28	23.773					
134	07/21/17 10:01:28	23.677					
135	07/21/17 10:02:28	23.677					
136	07/21/17 10:03:28	23.677					
137	07/21/17 10:04:28	23.677					
138	07/21/17 10:05:28	23.581					
139	07/21/17 10:06:28	23.581					
140	07/21/17 10:07:28	23.581					
141	07/21/17 10:08:28	23.581					
142	07/21/17 10:09:28	23.484					
143	07/21/17 10:10:28	23.484					
