DateTime	Temp	Temperature   (*F)		
08/23/16 00:04:00.0	21.58	70.86		
08/23/16 00:20:00.0	21.58	70.86		
08/23/16 00:36:00.0	21.58	70.86		
08/23/16 00:52:00.0	21.58	70.86		
08/23/16 01:08:00.0	21.58	70.86		
08/23/16 01:24:00.0	21.58	70.86		
08/23/16 01:40:00.0	21.28	70.31		
08/23/16 01:56:00.0	21.28	70.31		
08/23/16 02:12:00.0	21.28	70.31		
08/23/16 02:28:00.0	21.28	70.31		
08/23/16 02:44:00.0	21.28	70.31		
08/23/16 03:00:00.0	21.28	70.31		
08/23/16 03:16:00.0	21.28	70.31		
08/23/16 03:32:00.0	21.28	70.31		
08/23/16 03:48:00.0	21.28	70.31		
08/23/16 04:04:00.0	21.28	70.31		
08/23/16 04:20:00.0	21.58	70.86		
08/23/16 04:36:00.0	21.58	70.86		
08/23/16 04:52:00.0	21.58	70.86		
08/23/16 05:08:00.0	21.58	70.86		
08/23/16 05:24:00.0	21.58	70.86		
08/23/16 05:40:00.0	21.58	70.86		
08/23/16 05:56:00.0	21.58	70.86		
08/23/16 06:12:00.0	21.58	70.86		
08/23/16 06:28:00.0	21.58	70.86		
08/23/16 06:44:00.0	21.58	70.86		
08/23/16 07:00:00.0	21.89	71.42		
08/23/16 07:16:00.0	21.89	71.42		
08/23/16 07:32:00.0	21.89	71.42		
08/23/16 07:48:00.0	21.58	70.86		
08/23/16 08:04:00.0	21.58	70.86		
08/23/16 08:20:00.0	21.58	70.86		
08/23/16 08:36:00.0	21.89	71.42		
08/23/16 08:52:00.0	20.97	69.75		
08/23/16 09:08:00.0	20.97	69.75		
08/23/16 09:24:00.0	20.97	69.75		
08/23/16 09:40:00.0	20.97	69.75		
08/23/16 09:56:00.0	20.66	69.2		
08/23/16 10:12:00.0	20.97	69.75		
08/23/16 10:28:00.0	20.97	69.75		
08/23/16 10:44:00.0	20.97	69.75		
08/23/16 11:00:00.0	20.66	69.2		
08/23/16 11:16:00.0	20.97	69.75		
08/23/16 11:32:00.0	20.97	69.75		
08/23/16 11:48:00.0	20.97	69.75		
08/23/16 12:04:00.0	20.97	69.75		
08/23/16 12:20:00.0	20.97	69.75		
08/23/16 12:36:00.0	20.97	69.75		
08/23/16 12:52:00.0	20.97	69.75		
08/23/16 13:08:00.0	20.97	69.75		
08/23/16 13:24:00.0	20.97	69.75		
08/23/16 13:40:00.0	21.28	70.31		
08/23/16 13:56:00.0	21.28	70.31		
08/23/16 14:12:00.0	21.28	70.31		
08/23/16 14:28:00.0	21.28	70.31		
08/23/16 14:44:00.0	21.28	70.31		
08/23/16 15:00:00.0	21.58	70.86		
08/23/16 15:16:00.0	21.28	70.31		
08/23/16 15:32:00.0	21.28	70.31		
08/23/16 15:48:00.0	21.28	70.31		
08/23/16 16:04:00.0	21.28	70.31		
08/23/16 16:20:00.0	21.58	70.86		
08/23/16 16:36:00.0	21.58	70.86		
08/23/16 16:52:00.0	21.58	70.86		
08/23/16 17:08:00.0	21.28	70.31		
08/23/16 17:24:00.0	21.28	70.31		
08/23/16 17:40:00.0	21.28	70.31		
08/23/16 17:56:00.0	21.28	70.31		
08/23/16 18:12:00.0	21.58	70.86		
08/23/16 18:28:00.0	21.58	70.86		
08/23/16 18:44:00.0	21.58	70.86		
08/23/16 19:00:00.0	21.58	70.86		
08/23/16 19:16:00.0	21.58	70.86		
08/23/16 19:32:00.0	21.58	70.86		
08/23/16 19:48:00.0	21.89	71.42		
08/23/16 20:04:00.0	21.89	71.42		
08/23/16 20:20:00.0	21.58	70.86		
08/23/16 20:36:00.0	21.58	70.86		
08/23/16 20:52:00.0	21.89	71.42		
08/23/16 21:08:00.0	21.58	70.86		
08/23/16 21:24:00.0	21.28	70.31		
08/23/16 21:40:00.0	21.28	70.31		
08/23/16 21:56:00.0	21.28	70.31		
08/23/16 22:12:00.0	21.28	70.31		
08/23/16 22:28:00.0	21.28	70.31		
08/23/16 22:44:00.0	21.28	70.31		
08/23/16 23:00:00.0	20.36	68.65		
08/23/16 23:16:00.0	20.36	68.65		
08/23/16 23:32:00.0	20.36	68.65		
08/23/16 23:48:00.0	20.36	68.65		
08/24/16 00:04:00.0	20.36	68.65		
08/24/16 00:20:00.0	20.36	68.65		
08/24/16 00:36:00.0	20.66	69.2		
08/24/16 00:52:00.0	21.28	70.31		
08/24/16 01:08:00.0	20.97	69.75		
08/24/16 01:24:00.0	20.97	69.75		
08/24/16 01:40:00.0	20.97	69.75		
08/24/16 01:56:00.0	20.97	69.75		
08/24/16 02:12:00.0	20.97	69.75		
08/24/16 02:28:00.0	21.28	70.31		
08/24/16 02:44:00.0	21.28	70.31		
08/24/16 03:00:00.0	20.97	69.75		
08/24/16 03:16:00.0	21.28	70.31		
08/24/16 03:32:00.0	21.28	70.31		
08/24/16 03:48:00.0	20.97	69.75		
08/24/16 04:04:00.0	21.28	70.31		
08/24/16 04:20:00.0	21.28	70.31		
08/24/16 04:36:00.0	21.28	70.31		
08/24/16 04:52:00.0	21.28	70.31		
08/24/16 05:08:00.0	21.28	70.31		
08/24/16 05:24:00.0	21.28	70.31		
08/24/16 05:40:00.0	21.28	70.31		
08/24/16 05:56:00.0	21.28	70.31		
08/24/16 06:12:00.0	21.28	70.31		
08/24/16 06:28:00.0	21.28	70.31		
08/24/16 06:44:00.0	21.28	70.31		
08/24/16 07:00:00.0	21.28	70.31		
08/24/16 07:16:00.0	21.28	70.31		
08/24/16 07:32:00.0	21.58	70.86		
08/24/16 07:48:00.0	21.58	70.86		
08/24/16 08:04:00.0	21.58	70.86		
08/24/16 08:20:00.0	21.28	70.31		
08/24/16 08:36:00.0	21.58	70.86		
08/24/16 08:52:00.0	20.66	69.2		
08/24/16 09:08:00.0	20.66	69.2		
08/24/16 09:24:00.0	20.66	69.2		
08/24/16 09:40:00.0	20.66	69.2		
08/24/16 09:56:00.0	20.05	68.1		
08/24/16 10:12:00.0	20.05	68.1		
08/24/16 10:28:00.0	20.05	68.1		
08/24/16 10:44:00.0	20.36	68.65		
08/24/16 11:00:00.0	20.05	68.1		
08/24/16 11:16:00.0	20.05	68.1		
08/24/16 11:32:00.0	19.75	67.56		
08/24/16 11:48:00.0	19.75	67.56		
08/24/16 12:04:00.0	20.05	68.1		
08/24/16 12:20:00.0	20.05	68.1		
08/24/16 12:36:00.0	20.05	68.1		
08/24/16 12:52:00.0	20.05	68.1		
08/24/16 13:08:00.0	20.36	68.65		
08/24/16 13:24:00.0	20.97	69.75		
08/24/16 13:40:00.0	20.97	69.75		
08/24/16 13:56:00.0	20.66	69.2		
08/24/16 14:12:00.0	20.66	69.2		
08/24/16 14:28:00.0	20.66	69.2		
08/24/16 14:44:00.0	20.97	69.75		
08/24/16 15:00:00.0	20.66	69.2		
08/24/16 15:16:00.0	21.28	70.31		
08/24/16 15:32:00.0	21.28	70.31		
08/24/16 15:48:00.0	21.28	70.31		
08/24/16 16:04:00.0	20.66	69.2		
08/24/16 16:20:00.0	20.97	69.75		
08/24/16 16:36:00.0	20.97	69.75		
08/24/16 16:52:00.0	20.66	69.2		
08/24/16 17:08:00.0	20.66	69.2		
08/24/16 17:24:00.0	20.66	69.2		
08/24/16 17:40:00.0	20.97	69.75		
08/24/16 17:56:00.0	20.97	69.75		
08/24/16 18:12:00.0	20.97	69.75		
08/24/16 18:28:00.0	21.28	70.31		
08/24/16 18:44:00.0	21.28	70.31		
08/24/16 19:00:00.0	21.28	70.31		
08/24/16 19:16:00.0	21.28	70.31		
08/24/16 19:32:00.0	21.28	70.31		
08/24/16 19:48:00.0	21.28	70.31		
08/24/16 20:04:00.0	20.97	69.75		
08/24/16 20:20:00.0	20.36	68.65		
08/24/16 20:36:00.0	20.36	68.65		
08/24/16 20:52:00.0	20.97	69.75		
08/24/16 21:08:00.0	21.28	70.31		
08/24/16 21:24:00.0	21.28	70.31		
08/24/16 21:40:00.0	21.28	70.31		
08/24/16 21:56:00.0	21.28	70.31		
08/24/16 22:12:00.0	21.28	70.31		
08/24/16 22:28:00.0	20.36	68.65		
08/24/16 22:44:00.0	20.36	68.65		
08/24/16 23:00:00.0	20.66	69.2		
08/24/16 23:16:00.0	20.66	69.2		
08/24/16 23:32:00.0	20.66	69.2		
08/24/16 23:48:00.0	20.97	69.75		
08/25/16 00:04:00.0	19.75	67.56		
08/25/16 00:20:00.0	19.75	67.56		
08/25/16 00:36:00.0	20.05	68.1		
08/25/16 00:52:00.0	20.05	68.1		
08/25/16 01:08:00.0	20.05	68.1		
08/25/16 01:24:00.0	20.05	68.1		
08/25/16 01:40:00.0	20.05	68.1		
08/25/16 01:56:00.0	20.66	69.2		
08/25/16 02:12:00.0	20.66	69.2		
08/25/16 02:28:00.0	20.66	69.2		
08/25/16 02:44:00.0	20.66	69.2		
08/25/16 03:00:00.0	20.66	69.2		
08/25/16 03:16:00.0	20.66	69.2		
08/25/16 03:32:00.0	20.36	68.65		
08/25/16 03:48:00.0	20.66	69.2		
08/25/16 04:04:00.0	20.66	69.2		
08/25/16 04:20:00.0	20.66	69.2		
08/25/16 04:36:00.0	20.66	69.2		
08/25/16 04:52:00.0	20.97	69.75		
08/25/16 05:08:00.0	20.05	68.1		
08/25/16 05:24:00.0	20.66	69.2		
08/25/16 05:40:00.0	20.66	69.2		
08/25/16 05:56:00.0	20.66	69.2		
08/25/16 06:12:00.0	20.66	69.2		
08/25/16 06:28:00.0	20.97	69.75		
08/25/16 06:44:00.0	20.97	69.75		
08/25/16 07:00:00.0	20.97	69.75		
08/25/16 07:16:00.0	20.97	69.75		
08/25/16 07:32:00.0	20.97	69.75		
08/25/16 07:48:00.0	20.97	69.75		
08/25/16 08:04:00.0	20.97	69.75		
08/25/16 08:20:00.0	20.97	69.75		
08/25/16 08:36:00.0	20.66	69.2		
08/25/16 08:52:00.0	19.75	67.56		
08/25/16 09:08:00.0	20.66	69.2		
08/25/16 09:24:00.0	21.28	70.31		
08/25/16 09:40:00.0	21.28	70.31		
08/25/16 09:56:00.0	20.66	69.2		
08/25/16 10:12:00.0	20.66	69.2		
08/25/16 10:28:00.0	20.66	69.2		
08/25/16 10:44:00.0	20.66	69.2		
08/25/16 11:00:00.0	20.66	69.2		
08/25/16 11:16:00.0	20.66	69.2		
08/25/16 11:32:00.0	20.66	69.2		
08/25/16 11:48:00.0	20.66	69.2		
08/25/16 12:04:00.0	20.66	69.2		
08/25/16 12:20:00.0	20.66	69.2		
08/25/16 12:36:00.0	19.75	67.56		
08/25/16 12:52:00.0	20.97	69.75		
08/25/16 13:08:00.0	20.36	68.65		
08/25/16 13:24:00.0	20.66	69.2		
08/25/16 13:40:00.0	20.97	69.75		
08/25/16 13:56:00.0	21.28	70.31		
08/25/16 14:12:00.0	20.97	69.75		
08/25/16 14:28:00.0	21.28	70.31		
08/25/16 14:44:00.0	21.28	70.31		
08/25/16 15:00:00.0	21.28	70.31		
08/25/16 15:16:00.0	20.97	69.75		
08/25/16 15:32:00.0	21.28	70.31		
08/25/16 15:48:00.0	20.97	69.75		
08/25/16 16:04:00.0	20.66	69.2		
08/25/16 16:20:00.0	20.97	69.75		
08/25/16 16:36:00.0	20.66	69.2		
08/25/16 16:52:00.0	20.66	69.2		
08/25/16 17:08:00.0	20.66	69.2		
08/25/16 17:24:00.0	20.97	69.75		
08/25/16 17:40:00.0	20.66	69.2		
08/25/16 17:56:00.0	20.66	69.2		
08/25/16 18:12:00.0	20.36	68.65		
08/25/16 18:28:00.0	20.66	69.2		
08/25/16 18:44:00.0	20.36	68.65		
08/25/16 19:00:00.0	20.66	69.2		
08/25/16 19:16:00.0	20.66	69.2		
08/25/16 19:32:00.0	20.97	69.75		
08/25/16 19:48:00.0	21.28	70.31		
08/25/16 20:04:00.0	20.97	69.75		
08/25/16 20:20:00.0	20.66	69.2		
08/25/16 20:36:00.0	20.66	69.2		
08/25/16 20:52:00.0	20.97	69.75		
08/25/16 21:08:00.0	20.97	69.75		
08/25/16 21:24:00.0	20.97	69.75		
08/25/16 21:40:00.0	20.97	69.75		
08/25/16 21:56:00.0	20.97	69.75		
08/25/16 22:12:00.0	21.28	70.31		
08/25/16 22:28:00.0	21.28	70.31		
08/25/16 22:44:00.0	21.28	70.31		
08/25/16 23:00:00.0	21.28	70.31		
08/25/16 23:16:00.0	20.66	69.2		
08/25/16 23:32:00.0	20.97	69.75		
08/25/16 23:48:00.0	21.28	70.31		
08/26/16 00:04:00.0	21.28	70.31		
08/26/16 00:20:00.0	20.97	69.75		
08/26/16 00:36:00.0	20.97	69.75		
08/26/16 00:52:00.0	20.97	69.75		
08/26/16 01:08:00.0	21.28	70.31		
08/26/16 01:24:00.0	19.14	66.47		
08/26/16 01:40:00.0	20.66	69.2		
08/26/16 01:56:00.0	20.66	69.2		
08/26/16 02:12:00.0	20.05	68.1		
08/26/16 02:28:00.0	20.36	68.65		
08/26/16 02:44:00.0	20.36	68.65		
08/26/16 03:00:00.0	20.66	69.2		
08/26/16 03:16:00.0	20.66	69.2		
08/26/16 03:32:00.0	20.66	69.2		
08/26/16 03:48:00.0	20.36	68.65		
08/26/16 04:04:00.0	20.36	68.65		
08/26/16 04:20:00.0	20.36	68.65		
08/26/16 04:36:00.0	20.36	68.65		
08/26/16 04:52:00.0	20.36	68.65		
08/26/16 05:08:00.0	20.66	69.2		
08/26/16 05:24:00.0	20.36	68.65		
08/26/16 05:40:00.0	20.36	68.65		
08/26/16 05:56:00.0	20.66	69.2		
08/26/16 06:12:00.0	20.66	69.2		
08/26/16 06:28:00.0	19.75	67.56		
08/26/16 06:44:00.0	20.36	68.65		
08/26/16 07:00:00.0	20.36	68.65		
08/26/16 07:16:00.0	20.66	69.2		
08/26/16 07:32:00.0	20.66	69.2		
08/26/16 07:48:00.0	20.66	69.2		
08/26/16 08:04:00.0	20.66	69.2		
08/26/16 08:20:00.0	20.66	69.2		
08/26/16 08:36:00.0	20.66	69.2		
08/26/16 08:52:00.0	20.66	69.2		
08/26/16 09:08:00.0	20.66	69.2		
08/26/16 09:24:00.0	20.97	69.75		
08/26/16 09:40:00.0	20.97	69.75		
08/26/16 09:56:00.0	20.66	69.2		
08/26/16 10:12:00.0	19.75	67.56		
08/26/16 10:28:00.0	20.66	69.2		
08/26/16 10:44:00.0	21.28	70.31		
08/26/16 11:00:00.0	20.97	69.75		
08/26/16 11:16:00.0	21.28	70.31		
08/26/16 11:32:00.0	20.66	69.2		
08/26/16 11:48:00.0	20.66	69.2		
08/26/16 12:04:00.0	20.36	68.65		
08/26/16 12:20:00.0	20.66	69.2		
08/26/16 12:36:00.0	20.66	69.2		
08/26/16 12:52:00.0	20.66	69.2		
08/26/16 13:08:00.0	20.66	69.2		
08/26/16 13:24:00.0	20.36	68.65		
08/26/16 13:40:00.0	19.44	67.01		
08/26/16 13:56:00.0	19.44	67.01		
08/26/16 14:12:00.0	20.05	68.1		
08/26/16 14:28:00.0	20.97	69.75		
08/26/16 14:44:00.0	20.97	69.75		
08/26/16 15:00:00.0	21.28	70.31		
08/26/16 15:16:00.0	21.28	70.31		
08/26/16 15:32:00.0	21.28	70.31		
08/26/16 15:48:00.0	20.97	69.75		
08/26/16 16:04:00.0	20.66	69.2		
08/26/16 16:20:00.0	20.97	69.75		
08/26/16 16:36:00.0	20.66	69.2		
08/26/16 16:52:00.0	20.36	68.65		
08/26/16 17:08:00.0	20.66	69.2		
08/26/16 17:24:00.0	20.97	69.75		
08/26/16 17:40:00.0	20.36	68.65		
08/26/16 17:56:00.0	20.36	68.65		
08/26/16 18:12:00.0	20.05	68.1		
08/26/16 18:28:00.0	20.66	69.2		
08/26/16 18:44:00.0	20.36	68.65		
08/26/16 19:00:00.0	20.05	68.1		
08/26/16 19:16:00.0	20.66	69.2		
08/26/16 19:32:00.0	20.97	69.75		
08/26/16 19:48:00.0	20.66	69.2		
08/26/16 20:04:00.0	21.28	70.31		
08/26/16 20:20:00.0	21.28	70.31		
08/26/16 20:36:00.0	21.28	70.31		
08/26/16 20:52:00.0	21.28	70.31		
08/26/16 21:08:00.0	21.28	70.31		
08/26/16 21:24:00.0	21.28	70.31		
08/26/16 21:40:00.0	21.28	70.31		
08/26/16 21:56:00.0	21.58	70.86		
08/26/16 22:12:00.0	21.28	70.31		
08/26/16 22:28:00.0	21.28	70.31		
08/26/16 22:44:00.0	20.36	68.65		
08/26/16 23:00:00.0	20.97	69.75		
08/26/16 23:16:00.0	21.28	70.31		
08/26/16 23:32:00.0	20.97	69.75		
08/26/16 23:48:00.0	20.97	69.75		
08/27/16 00:04:00.0	21.28	70.31		
08/27/16 00:20:00.0	21.28	70.31		
08/27/16 00:36:00.0	21.28	70.31		
08/27/16 00:52:00.0	21.58	70.86		
08/27/16 01:08:00.0	21.58	70.86		
08/27/16 01:24:00.0	19.75	67.56		
08/27/16 01:40:00.0	20.05	68.1		
08/27/16 01:56:00.0	20.36	68.65		
08/27/16 02:12:00.0	20.36	68.65		
08/27/16 02:28:00.0	20.66	69.2		
08/27/16 02:44:00.0	20.66	69.2		
08/27/16 03:00:00.0	20.66	69.2		
08/27/16 03:16:00.0	20.97	69.75		
08/27/16 03:32:00.0	21.28	70.31		
08/27/16 03:48:00.0	21.28	70.31		
08/27/16 04:04:00.0	21.28	70.31		
08/27/16 04:20:00.0	20.05	68.1		
08/27/16 04:36:00.0	20.05	68.1		
08/27/16 04:52:00.0	20.05	68.1		
08/27/16 05:08:00.0	20.36	68.65		
08/27/16 05:24:00.0	19.75	67.56		
08/27/16 05:40:00.0	20.36	68.65		
08/27/16 05:56:00.0	20.36	68.65		
08/27/16 06:12:00.0	20.05	68.1		
08/27/16 06:28:00.0	20.05	68.1		
08/27/16 06:44:00.0	20.36	68.65		
08/27/16 07:00:00.0	20.36	68.65		
08/27/16 07:16:00.0	20.05	68.1		
08/27/16 07:32:00.0	20.36	68.65		
08/27/16 07:48:00.0	20.66	69.2		
08/27/16 08:04:00.0	20.66	69.2		
08/27/16 08:20:00.0	20.66	69.2		
08/27/16 08:36:00.0	20.97	69.75		
08/27/16 08:52:00.0	20.97	69.75		
08/27/16 09:08:00.0	21.28	70.31		
08/27/16 09:24:00.0	21.28	70.31		
08/27/16 09:40:00.0	21.28	70.31		
08/27/16 09:56:00.0	21.28	70.31		
08/27/16 10:12:00.0	20.36	68.65		
08/27/16 10:28:00.0	21.28	70.31		
08/27/16 10:44:00.0	20.36	68.65		
08/27/16 11:00:00.0	20.66	69.2		
08/27/16 11:16:00.0	20.36	68.65		
08/27/16 11:32:00.0	20.97	69.75		
08/27/16 11:48:00.0	20.66	69.2		
08/27/16 12:04:00.0	21.28	70.31		
08/27/16 12:20:00.0	21.28	70.31		
08/27/16 12:36:00.0	21.58	70.86		
08/27/16 12:52:00.0	21.58	70.86		
08/27/16 13:08:00.0	21.58	70.86		
08/27/16 13:24:00.0	20.66	69.2		
08/27/16 13:40:00.0	20.66	69.2		
08/27/16 13:56:00.0	20.97	69.75		
08/27/16 14:12:00.0	19.44	67.01		
08/27/16 14:28:00.0	19.44	67.01		
08/27/16 14:44:00.0	21.28	70.31		
08/27/16 15:00:00.0	21.58	70.86		
08/27/16 15:16:00.0	21.28	70.31		
08/27/16 15:32:00.0	21.28	70.31		
08/27/16 15:48:00.0	21.58	70.86		
08/27/16 16:04:00.0	21.28	70.31		
08/27/16 16:20:00.0	20.97	69.75		
08/27/16 16:36:00.0	20.97	69.75		
08/27/16 16:52:00.0	20.66	69.2		
08/27/16 17:08:00.0	20.36	68.65		
08/27/16 17:24:00.0	20.66	69.2		
08/27/16 17:40:00.0	20.66	69.2		
08/27/16 17:56:00.0	20.66	69.2		
08/27/16 18:12:00.0	20.66	69.2		
08/27/16 18:28:00.0	20.36	68.65		
08/27/16 18:44:00.0	20.05	68.1		
08/27/16 19:00:00.0	20.36	68.65		
08/27/16 19:16:00.0	20.36	68.65		
08/27/16 19:32:00.0	20.36	68.65		
08/27/16 19:48:00.0	20.36	68.65		
08/27/16 20:04:00.0	20.05	68.1		
08/27/16 20:20:00.0	20.36	68.65		
08/27/16 20:36:00.0	20.97	69.75		
08/27/16 20:52:00.0	20.97	69.75		
08/27/16 21:08:00.0	21.58	70.86		
08/27/16 21:24:00.0	21.58	70.86		
08/27/16 21:40:00.0	21.58	70.86		
08/27/16 21:56:00.0	21.58	70.86		
08/27/16 22:12:00.0	21.58	70.86		
08/27/16 22:28:00.0	21.28	70.31		
08/27/16 22:44:00.0	21.58	70.86		
08/27/16 23:00:00.0	21.58	70.86		
08/27/16 23:16:00.0	21.28	70.31		
08/27/16 23:32:00.0	21.28	70.31		
08/27/16 23:48:00.0	20.05	68.1		
08/28/16 00:04:00.0	20.05	68.1		
08/28/16 00:20:00.0	20.05	68.1		
08/28/16 00:36:00.0	20.05	68.1		
08/28/16 00:52:00.0	20.36	68.65		
08/28/16 01:08:00.0	20.66	69.2		
08/28/16 01:24:00.0	20.36	68.65		
08/28/16 01:40:00.0	21.89	71.42		
08/28/16 01:56:00.0	21.89	71.42		
08/28/16 02:12:00.0	21.89	71.42		
08/28/16 02:28:00.0	20.97	69.75		
08/28/16 02:44:00.0	21.58	70.86		
08/28/16 03:00:00.0	21.28	70.31		
08/28/16 03:16:00.0	21.58	70.86		
08/28/16 03:32:00.0	21.58	70.86		
08/28/16 03:48:00.0	21.58	70.86		
08/28/16 04:04:00.0	21.89	71.42		
08/28/16 04:20:00.0	21.89	71.42		
08/28/16 04:36:00.0	21.89	71.42		
08/28/16 04:52:00.0	21.89	71.42		
08/28/16 05:08:00.0	21.89	71.42		
08/28/16 05:24:00.0	21.28	70.31		
08/28/16 05:40:00.0	21.28	70.31		
08/28/16 05:56:00.0	21.58	70.86		
08/28/16 06:12:00.0	21.28	70.31		
08/28/16 06:28:00.0	20.36	68.65		
08/28/16 06:44:00.0	20.36	68.65		
08/28/16 07:00:00.0	20.66	69.2		
08/28/16 07:16:00.0	20.36	68.65		
08/28/16 07:32:00.0	20.97	69.75		
08/28/16 07:48:00.0	20.66	69.2		
08/28/16 08:04:00.0	21.28	70.31		
08/28/16 08:20:00.0	20.97	69.75		
08/28/16 08:36:00.0	20.66	69.2		
08/28/16 08:52:00.0	20.97	69.75		
08/28/16 09:08:00.0	20.97	69.75		
08/28/16 09:24:00.0	21.28	70.31		
08/28/16 09:40:00.0	21.28	70.31		
08/28/16 09:56:00.0	21.28	70.31		
08/28/16 10:12:00.0	21.28	70.31		
08/28/16 10:28:00.0	21.58	70.86		
08/28/16 10:44:00.0	21.28	70.31		
08/28/16 11:00:00.0	20.97	69.75		
08/28/16 11:16:00.0	21.58	70.86		
08/28/16 11:32:00.0	21.58	70.86		
08/28/16 11:48:00.0	20.66	69.2		
08/28/16 12:04:00.0	20.36	68.65		
08/28/16 12:20:00.0	20.36	68.65		
08/28/16 12:36:00.0	21.58	70.86		
08/28/16 12:52:00.0	22.21	71.98		
08/28/16 13:08:00.0	22.52	72.55		
08/28/16 13:24:00.0	22.52	72.55		
08/28/16 13:40:00.0	22.21	71.98		
08/28/16 13:56:00.0	22.21	71.98		
08/28/16 14:12:00.0	21.89	71.42		
08/28/16 14:28:00.0	22.52	72.55		
08/28/16 14:44:00.0	22.84	73.12		
08/28/16 15:00:00.0	22.84	73.12		
08/28/16 15:16:00.0	22.84	73.12		
08/28/16 15:32:00.0	23.15	73.68		
08/28/16 15:48:00.0	22.84	73.12		
08/28/16 16:04:00.0	22.84	73.12		
08/28/16 16:20:00.0	23.15	73.68		
08/28/16 16:36:00.0	22.84	73.12		
08/28/16 16:52:00.0	23.15	73.68		
08/28/16 17:08:00.0	23.15	73.68		
