,breaks,state,percent
1,0-2,VA,0
2,2-4,VA,0
3,4-6,VA,0
4,6-8,VA,15.297221
5,8-10,VA,19.239873
6,10-12,VA,5.298573
7,12-14,VA,9.156692
8,14-16,VA,7.804152
9,16-18,VA,11.712991
10,18-20,VA,5.072023
11,20-22,VA,8.70021
12,22-24,VA,8.365456
13,24-26,VA,9.35281
14,26-28,VA,0
15,28-30,VA,0
16,30-32,VA,0
17,0-2,RI,0
18,2-4,RI,3.145782289
19,4-6,RI,16.08549177
20,6-8,RI,2.349492475
21,8-10,RI,1.887906895
22,10-12,RI,3.187346867
23,12-14,RI,4.996089648
24,14-16,RI,7.223349449
25,16-18,RI,16.59534149
26,18-20,RI,36.71779292
27,20-22,RI,7.712963773
28,22-24,RI,0.098442422
29,24-26,RI,0
30,26-28,RI,0
31,28-30,RI,0
32,30-32,RI,0
