term,E,Eh,lnc,Th,Topt,genotype,origin,color
lwr_CI,13.85546785,13.48718459,18.11116453,279.6510594,NA,WWB,ri,white
upr_CI,58.73889295,58.37524833,95.04972564,281.3749852,NA,WWB,ri,white
mu,3.320303034,4.30565579,1.709750817,292.8616597,297.8392379,WWC,ri,white
lwr_CI,1.660006325,2.083458496,-0.522075389,281.7798019,293.5212058,WWC,ri,white
upr_CI,7.947758603,8.632369002,9.196705281,301.2740055,304.3430633,WWC,ri,white
mu,0.970127015,3.094077632,0.325259768,300.6705273,298.7351654,WWD,ri,white
lwr_CI,0.907808879,2.715896988,0.254245074,299.6913251,298.2126853,WWD,ri,white
upr_CI,1.043182238,3.530877502,0.401389152,301.5460994,299.2741175,WWD,ri,white
mu,11.31674242,17.3605127,15.51193587,955.2271061,274.159232,WWE,ri,white
lwr_CI,0,1.21E-08,-2.242070271,248.9516504,0,WWE,ri,white
upr_CI,54.63838383,61.63615909,86.99507101,417.7582581,304.7355555,WWE,ri,white
mu,24.70219148,24.30554819,40.12604813,279.9618141,NaN,WWF,ri,white
lwr_CI,5.719199578,5.336495721,7.553934078,279.3251437,NA,WWF,ri,white
upr_CI,49.08360758,48.62000053,81.84793084,281.3602594,NA,WWF,ri,white
mu,1.162245478,2.120594157,-0.030516511,298.3465484,299.0942688,WWI,ri,white
lwr_CI,1.105149129,1.938421232,-0.10402959,297.1545733,298.7366468,WWI,ri,white
upr_CI,1.227569566,2.306773897,0.054966621,299.4404451,299.5170981,WWI,ri,white
mu,0.685186019,2.753545256,-0.146252298,303.7362747,300.624221,WWJ,ri,white
lwr_CI,0.646028119,2.23226787,-0.1878011,302.9057693,300.2143368,WWJ,ri,white
upr_CI,0.727661765,3.392820365,-0.101528924,304.4087332,301.0561541,WWJ,ri,white
mu,1.91727987,9.672790708,1.766454888,300.1275295,300.3868261,WWK,ri,white
lwr_CI,0.539372191,1.364439422,-0.437462765,279.2462259,296.3458682,WWK,ri,white
upr_CI,5.163367395,53.93326445,6.688801495,305.198677,304.4936197,WWK,ri,white
