"","Date_skel","colorstate","Chamber.Channel_skel","Genotype_skel","Temp_skel","Origin_skel","colorstate.1","Color_skel","Rdark_umol.cm2.hr_skel","abs_R_skel"
"81","20170725","RI_brown",3,"WBC","12","RI","RI_brown","brown",0.370547137,0.370547137
"82","20170725","RI_brown",3,"WBC","15","RI","RI_brown","brown",0.196733609,0.196733609
"84","20170725","RI_brown",3,"WBC","6","RI","RI_brown","brown",-0.015358935,0.015358935
"85","20170725","RI_brown",3,"WBC","9","RI","RI_brown","brown",0.012627913,0.012627913
"86","20170722","RI_brown",8,"WBF","12","RI","RI_brown","brown",-0.033498096,0.033498096
"87","20170722","RI_brown",8,"WBF","15","RI","RI_brown","brown",-0.087626052,0.087626052
"89","20170722","RI_brown",8,"WBF","6","RI","RI_brown","brown",0.008919215,0.008919215
"90","20170722","RI_brown",8,"WBF","9","RI","RI_brown","brown",-0.046165721,0.046165721
"91","20170722","RI_brown",4,"WBG","12","RI","RI_brown","brown",-0.188403721,0.188403721
"92","20170722","RI_brown",4,"WBG","15","RI","RI_brown","brown",-0.328565364,0.328565364
"94","20170722","RI_brown",4,"WBG","6","RI","RI_brown","brown",-0.251202609,0.251202609
"95","20170722","RI_brown",4,"WBG","9","RI","RI_brown","brown",-0.14048799,0.14048799
"96","20170724","RI_brown",10,"WBI","12","RI","RI_brown","brown",-0.276969979,0.276969979
"97","20170724","RI_brown",10,"WBI","15","RI","RI_brown","brown",0.04887588,0.04887588
"99","20170724","RI_brown",10,"WBI","6","RI","RI_brown","brown",-0.289785215,0.289785215
"100","20170724","RI_brown",10,"WBI","9","RI","RI_brown","brown",0.289840047,0.289840047
"101","20170724","RI_brown",8,"WBK","12","RI","RI_brown","brown",-0.289212161,0.289212161
"102","20170724","RI_brown",8,"WBK","15","RI","RI_brown","brown",-0.211918708,0.211918708
"104","20170724","RI_brown",8,"WBK","6","RI","RI_brown","brown",-0.215401023,0.215401023
"105","20170724","RI_brown",8,"WBK","9","RI","RI_brown","brown",0.094978114,0.094978114
"106","20170726","RI_brown",6,"WBJ","12","RI","RI_brown","brown",-0.319112184,0.319112184
"107","20170726","RI_brown",6,"WBJ","15","RI","RI_brown","brown",-0.212457258,0.212457258
"109","20170726","RI_brown",6,"WBJ","6","RI","RI_brown","brown",0.090799073,0.090799073
"110","20170726","RI_brown",6,"WBJ","9","RI","RI_brown","brown",-0.157947657,0.157947657
"111","20170725","RI_brown",7,"WBO","12","RI","RI_brown","brown",0.145203951,0.145203951
"112","20170725","RI_brown",7,"WBO","15","RI","RI_brown","brown",0.145526321,0.145526321
"114","20170725","RI_brown",7,"WBO","6","RI","RI_brown","brown",-0.194154535,0.194154535
"115","20170725","RI_brown",7,"WBO","9","RI","RI_brown","brown",-0.078252031,0.078252031
"116","20170726","RI_brown",5,"WBB","12","RI","RI_brown","brown",-0.208449179,0.208449179
"117","20170726","RI_brown",5,"WBB","15","RI","RI_brown","brown",-0.35572566,0.35572566
"119","20170726","RI_brown",5,"WBB","6","RI","RI_brown","brown",0.062822779,0.062822779
"120","20170726","RI_brown",5,"WBB","9","RI","RI_brown","brown",-0.152114027,0.152114027
"121","20170726","RI_white",10,"WWB","12","RI","RI_white","white",-0.183281208,0.183281208
"122","20170726","RI_white",10,"WWB","15","RI","RI_white","white",-0.51783732,0.51783732
"124","20170726","RI_white",10,"WWB","6","RI","RI_white","white",0.198483798,0.198483798
"125","20170726","RI_white",10,"WWB","9","RI","RI_white","white",-0.17124161,0.17124161
"126","20170722","RI_white",3,"WWC","12","RI","RI_white","white",-0.152684066,0.152684066
"127","20170722","RI_white",3,"WWC","15","RI","RI_white","white",-0.041639045,0.041639045
"129","20170722","RI_white",3,"WWC","6","RI","RI_white","white",-0.306751439,0.306751439
"130","20170722","RI_white",3,"WWC","9","RI","RI_white","white",-0.041373232,0.041373232
"131","20170724","RI_white",3,"WWD","12","RI","RI_white","white",-0.125879541,0.125879541
"132","20170724","RI_white",3,"WWD","15","RI","RI_white","white",0.067566544,0.067566544
"134","20170724","RI_white",3,"WWD","6","RI","RI_white","white",-0.204659201,0.204659201
"135","20170724","RI_white",3,"WWD","9","RI","RI_white","white",0.290853845,0.290853845
"136","20170725","RI_white",5,"WWE","12","RI","RI_white","white",0.215832488,0.215832488
"137","20170725","RI_white",5,"WWE","15","RI","RI_white","white",0.075100119,0.075100119
"139","20170725","RI_white",5,"WWE","6","RI","RI_white","white",-0.140223274,0.140223274
"140","20170725","RI_white",5,"WWE","9","RI","RI_white","white",-0.068515876,0.068515876
"141","20170726","RI_white",8,"WWH","12","RI","RI_white","white",-0.476603548,0.476603548
"142","20170726","RI_white",8,"WWH","15","RI","RI_white","white",-0.548715679,0.548715679
"144","20170726","RI_white",8,"WWH","6","RI","RI_white","white",-0.044883422,0.044883422
"145","20170726","RI_white",8,"WWH","9","RI","RI_white","white",-0.418239902,0.418239902
"146","20170722","RI_white",6,"WWI","12","RI","RI_white","white",-0.225804171,0.225804171
"147","20170722","RI_white",6,"WWI","15","RI","RI_white","white",-0.218496895,0.218496895
"149","20170722","RI_white",6,"WWI","6","RI","RI_white","white",-0.123196912,0.123196912
"150","20170722","RI_white",6,"WWI","9","RI","RI_white","white",-0.003612724,0.003612724
"151","20170724","RI_white",4,"WWJ","12","RI","RI_white","white",-0.279135196,0.279135196
"152","20170724","RI_white",4,"WWJ","15","RI","RI_white","white",-0.135532789,0.135532789
"154","20170724","RI_white",4,"WWJ","6","RI","RI_white","white",-0.169281682,0.169281682
"155","20170724","RI_white",4,"WWJ","9","RI","RI_white","white",0.060719119,0.060719119
"156","20170725","RI_white",9,"WWK","12","RI","RI_white","white",-0.048059098,0.048059098
"157","20170725","RI_white",9,"WWK","15","RI","RI_white","white",-0.328331356,0.328331356
"159","20170725","RI_white",9,"WWK","6","RI","RI_white","white",-0.251891988,0.251891988
"160","20170725","RI_white",9,"WWK","9","RI","RI_white","white",-0.253374956,0.253374956
"162","20170717","VA_brown",5,"TBE","22","VA","VA_brown","brown",-0.181767497,0.181767497
"163","20170717","VA_brown",5,"TBE","26","VA","VA_brown","brown",-0.318928288,0.318928288
"164","20170717","VA_brown",5,"TBE","29","VA","VA_brown","brown",-0.545230236,0.545230236
"165","20170717","VA_brown",5,"TBE","32","VA","VA_brown","brown",-0.509025725,0.509025725
"167","20170719","VA_brown",10,"TBF","22","VA","VA_brown","brown",-0.189819735,0.189819735
"168","20170719","VA_brown",10,"TBF","26","VA","VA_brown","brown",-0.310305938,0.310305938
"169","20170719","VA_brown",10,"TBF","29","VA","VA_brown","brown",-0.30796088,0.30796088
"170","20170719","VA_brown",10,"TBF","32","VA","VA_brown","brown",-0.468058911,0.468058911
"172","20170721","VA_brown",6,"TBG","22","VA","VA_brown","brown",-0.334592319,0.334592319
"173","20170721","VA_brown",6,"TBG","26","VA","VA_brown","brown",-0.351128143,0.351128143
"174","20170721","VA_brown",6,"TBG","29","VA","VA_brown","brown",-0.439144947,0.439144947
"175","20170721","VA_brown",6,"TBG","32","VA","VA_brown","brown",-0.381976657,0.381976657
"177","20170718","VA_brown",6,"TBI","22","VA","VA_brown","brown",-0.251132421,0.251132421
"178","20170718","VA_brown",6,"TBI","26","VA","VA_brown","brown",-0.542835688,0.542835688
"179","20170718","VA_brown",6,"TBI","29","VA","VA_brown","brown",-0.675292266,0.675292266
"180","20170718","VA_brown",6,"TBI","32","VA","VA_brown","brown",-0.496672901,0.496672901
"182","20170719","VA_brown",3,"TBL","22","VA","VA_brown","brown",-0.244022153,0.244022153
"183","20170719","VA_brown",3,"TBL","26","VA","VA_brown","brown",-0.2591611,0.2591611
"184","20170719","VA_brown",3,"TBL","29","VA","VA_brown","brown",-0.32316966,0.32316966
"185","20170719","VA_brown",3,"TBL","32","VA","VA_brown","brown",-0.424907127,0.424907127
"187","20170721","VA_brown",9,"TBM","22","VA","VA_brown","brown",-0.201996778,0.201996778
"188","20170721","VA_brown",9,"TBM","26","VA","VA_brown","brown",-0.358247759,0.358247759
