id,irradiance,pgross
TBN3,5,0.013466187
TBL6,5,0.015599845
TBE8,5,0.012691575
TBO6,5,0.01100962
TBN3,28,0.025361169
TBL6,28,0.032550913
TBE8,28,0.019903505
TBO6,28,0.021260664
TBN3,56,0.025776893
TBL6,56,0.03599551
TBE8,56,0.027748698
TBO6,56,0.037509662
TBN3,104,0.037691876
TBL6,104,0.041148371
TBE8,104,0.029383224
TBO6,104,0.046595741
TBN3,200,0.033646403
TBL6,200,0.040750477
TBE8,200,0.034815027
TBO6,200,0.052454325
TBN3,400,0.039747547
TBL6,400,0.050318539
TBE8,400,0.043982035
TBO6,400,0.055519631
TBN3,615,0.052365085
TBL6,615,0.043373171
TBE8,615,0.045565968
TBO6,615,0.04883694
TBN3,845,0.033400452
TBL6,845,0.036725293
TBE8,845,0.041081949
TBO6,845,0.042890516
